University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Florida Agricultural and Mechanical University,http://www.famu.edu,10,"['http://www.famu.edu/index.cfm?shs&WellnessCenter', 'http://www.famu.edu/index.cfm?shs&RattlerWellness', 'http://www.famu.edu/index.cfm?shs&Pharmacy', 'http://www.famu.edu/index.cfm?shs&ZikaUpdate', 'http://www.famu.edu/index.cfm?oied&HealthGuidelines', 'https://www.famu.edu/shs/FAMUZika%20%20Update%208-23-2016.pdf', 'http://www.famu.edu/mbrs/userfiles/file/publication-lee.pdf']",5402,60.25,9.07,8,6,2,0.047,0.518,0.138,"[-1, -1, -1, 'Tue, 28 Aug 2012 21:39:01 GMT', -1, -1, 'Mon, 18 Apr 2016 15:24:20 GMT', 'Wed, 24 Aug 2016 13:57:02 GMT', 'Wed, 03 Aug 2016 16:44:34 GMT', 'Tue, 28 Aug 2012 22:10:08 GMT']",2,"['http://www.famu.edu', 'http://www.famu.edu/index.cfm?Assessment', 'http://www.famu.edu/Assessment/Copy%20of%20STARS%20Assessment%20RubricREV.PDF']",1
Florida Atlantic University,https://www.fau.edu/shs,8,"['http://www.fau.edu/shs/_old/clinic/womens_clinic.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_clinic.php', 'http://www.fau.edu/shs/_old/pharmacy/pharm-services_provided.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_oral_contraceptives.php', 'https://www.fau.edu/shs/services/advisory.php', 'https://www.fau.edu/shs/PDFs/2013.14_SHS_Annual_Report_w.Appendices.pdf']",4285,55.56,10.21,11,7,4,0.044,0.532,0.153,"[-1, -1, -1, -1, -1, 'Wed, 08 Jul 2015 13:43:31 GMT', 'Thu, 21 Aug 2014 19:14:07 GMT', 'Mon, 19 Aug 2013 18:45:57 GMT']",2,"['https://www.fau.edu/shs', 'https://www.fau.edu/shs/services/mens.php', 'https://www.fau.edu/shs/services/advisory.php']",1
Florida International University,https://studentaffairs.fiu.edu/health-and-fitness/student-health,10,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/on-campus-services/sexual-health-resources/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/sexual-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/request/materialrequest/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/zika-prevention/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/resources/sexual-health-resources2/_assets/contraception.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/on-campus-services/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/healthy-panther-resources/reports-and-publications/_assets/pdfs/BROCHURE%20TRIFOLD%20SHS.pdf']",3200,49.88,10.01,12,7,5,0.066,0.566,0.111,"[-1, -1, -1, -1, 'Mon, 29 Apr 2019 07:38:14 GMT', 'Mon, 29 Apr 2019 07:38:15 GMT', -1, 'Mon, 29 Apr 2019 07:38:11 GMT', 'Wed, 12 Aug 2020 07:15:58 GMT', 'Wed, 12 Aug 2020 07:14:29 GMT']",1,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/zika-prevention/index.php']",1
Florida State University,https://uhs.fsu.edu,,,,,,,,,,,,,,,0
University of Florida,https://shcc.ufl.edu,10,"['https://shcc.ufl.edu/tag/condoms/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/oral-sex/', 'https://shcc.ufl.edu/2017/01/06/condom-design-challenge/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/sexintheswamp/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/', 'https://shcc.ufl.edu/tag/condom/', 'https://shcc.ufl.edu/2018/01/25/menstrual-products-now-available-at-shcc/', 'https://shcc.ufl.edu/2017/01/31/gearing-up-for-v-day-safe-sex-is-the-best-sex/', 'https://shcc.ufl.edu/2016/page/6/', 'https://shcc.ufl.edu/2016/04/01/stistd-awareness-month/']",10583,78.36,5.78,90,57,33,0.126,0.46,0.22,"['Fri, 14 Aug 2020 21:58:10 GMT', 'Sat, 15 Aug 2020 23:46:20 GMT', 'Fri, 14 Aug 2020 21:58:11 GMT', 'Fri, 14 Aug 2020 20:19:54 GMT', 'Sat, 15 Aug 2020 18:49:34 GMT', 'Fri, 14 Aug 2020 21:58:13 GMT', 'Fri, 14 Aug 2020 21:58:14 GMT', 'Fri, 14 Aug 2020 21:58:08 GMT', 'Sun, 16 Aug 2020 17:27:13 GMT', 'Fri, 14 Aug 2020 20:49:20 GMT']",1,"['https://shcc.ufl.edu', 'https://shcc.ufl.edu/services/primary-care/sexual-health/']",1
Indian River State College,https://www.irsc.edu/student-life,,,,,,,,,,,,,,,0
University of North Florida,https://www.unf.edu/shs,1,['https://www.unf.edu/shs/Self_Help_-_Urinary_Tract_Infection_(UTI).aspx'],813,63.3,8.04,6,3,3,0.06,0.62,0.044,"['Sun, 16 Aug 2020 19:21:16 GMT']",1,"['https://www.unf.edu/shs', 'https://www.unf.edu/shs/Self_Help_-_Urinary_Tract_Infection_(UTI).aspx']",1
University of South Florida Main Campus,https://www.usf.edu/student-affairs/student-health-services,10,"['https://www.usf.edu/student-affairs/student-health-services/services/sexualhealth.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/genital-herpes.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/syphilis.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/prevent-hpv.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/gonorrhea.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/contraceptives.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/chlamydia.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/hpv.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/hiv.aspx']",5924,83.13,4.51,23,14,9,0.062,0.544,0.124,"[-1, -1, -1, -1, -1, -1, -1, 'Mon, 17 Feb 2014 14:44:26 GMT', -1, -1]",2,"['https://www.usf.edu/student-affairs/student-health-services', 'https://www.usf.edu/student-affairs/student-health-services/services/index.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sexualhealth.aspx']",1
The University of West Florida,https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services,1,['https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services/student-health-services/faqs/'],990,90.9,3.42,3,2,1,0.048,0.674,0.122,"['Wed, 17 Jun 2020 21:47:50 GMT']",1,"['https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services', 'https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services/student-health-services/faqs/']",1
Abraham Baldwin Agricultural College,https://www.abac.edu/campus-life/health-center,,,,,,,,,,,,,,,0
Albany State University,https://www.asurams.edu/student-affairs/health-services,1,['https://www.asurams.edu/student-affairs/health-services/clinic-services.php'],391,68.87,5.71,2,1,1,0.022,0.834,0.094,[-1],1,"['https://www.asurams.edu/student-affairs/health-services', 'https://www.asurams.edu/student-affairs/health-services/clinic-services.php']",1
Armstrong State University,https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus,1,['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/requests-for-condoms/'],651,87.13,3.16,13,8,5,0.121,0.816,0.061,[-1],-1,[],1
College of Coastal Georgia,https://www.ccga.edu/page.cfm?p=616,1,['https://www.ccga.edu/page.cfm?p=2477'],997,78.35,8.45,2,1,1,0.033,0.54,0.186,[-1],-1,[],1
Clayton  State University,https://www.clayton.edu/uhs,3,"['https://www.clayton.edu/uhs/sexual-health-and-well-being', 'https://www.clayton.edu/uhs/index', 'https://www.clayton.edu/uhs/womens-health-services']",2479,82.57,4.39,13,7,6,0.054,0.553,0.163,"[-1, -1, -1]",1,"['https://www.clayton.edu/uhs', 'https://www.clayton.edu/uhs/womens-health-services']",1
Columbus State University,https://healthservices.columbusstate.edu,,,,,,,,,,,,,,,0
Dalton State College,https://www.daltonstate.edu/campus_life/student-health-services.cms,,,,,,,,,,,,,,,0
Fort Valley State University,https://www.fvsu.edu/student-health1,,,,,,,,,,,,,,,0
Georgia Institute of Technology Main Campus,https://health.gatech.edu,8,"['https://health.gatech.edu/news/dos-and-donts-condom-usage', 'https://health.gatech.edu/news/check-your-sexual-health', 'https://health.gatech.edu/services/womens/Emergency', 'https://health.gatech.edu/services/womens/Contraception', 'https://health.gatech.edu/hg/file/221531', 'https://health.gatech.edu/news/5-healthy-habits-world-health-day', 'https://health.gatech.edu/services/womens/vaginitis']",16568,73.62,6.1,87,58,29,0.207,0.478,0.191,"['Sun, 16 Aug 2020 19:25:15 GMT', 'Sun, 16 Aug 2020 19:25:18 GMT', 'Sun, 16 Aug 2020 19:25:21 GMT', 'Sun, 16 Aug 2020 19:25:22 GMT', 'Sun, 16 Aug 2020 19:25:22 GMT', 'Sun, 16 Aug 2020 19:25:25 GMT', 'Sun, 16 Aug 2020 19:25:28 GMT', 'Tue, 28 Apr 2020 14:53:29 GMT']",2,"['https://health.gatech.edu', 'https://health.gatech.edu/services/women', 'https://health.gatech.edu/services/womens/Contraception']",1
Georgia Southwestern State University,https://www.gsw.edu/campus-life/campusliving/healthservices,,,,,,,,,,,,,,,0
Georgia College & State University,https://www.gcsu.edu/studenthealth,,,,,,,,,,,,,,,0
Georgia Southern University,https://auxiliary.georgiasouthern.edu/healthservices,5,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/requests-for-condoms/', 'https://auxiliary.georgiasouthern.edu/healthservices/you-asked-we-answered/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-promotion-presentation-request/', 'https://auxiliary.georgiasouthern.edu/healthservices/pharmacy/', 'https://auxiliary.georgiasouthern.edu/healthservices/services/']",6706,76.23,5.2,18,12,6,0.092,0.686,0.133,"[-1, -1, -1, -1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices', 'https://auxiliary.georgiasouthern.edu/healthservices/sexual-assault-assistance/', 'https://auxiliary.georgiasouthern.edu/healthservices/pharmacy/']",1
Georgia State University,https://health.gsu.edu,3,"['https://health.gsu.edu/2016/03/03/154046/', 'https://health.gsu.edu/2019/03/08/healthy-spring-break/', 'https://health.gsu.edu/2015/10/16/get-tested-for-stis/']",3989,71.78,7.33,5,4,1,0.038,0.478,0.188,"[-1, -1, -1]",2,"['https://health.gsu.edu', 'https://health.gsu.edu/2018-news-archives/', 'https://health.gsu.edu/2019/03/08/healthy-spring-break/']",1
University of Georgia,https://www.uhs.uga.edu,10,"['https://www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/condoms', 'https://www.uhs.uga.edu/sexualhealth/condomexpresshttps:/www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/projectcondom', 'https://www.uhs.uga.edu/sexualhealth/mens-sexual-health', 'https://www.uhs.uga.edu/sexualhealth/contraception/putoncondom.html', 'https://www.uhs.uga.edu/studentgroups/safer-sex-ambassadors', 'https://www.uhs.uga.edu/sexualhealth/aids', 'https://www.uhs.uga.edu/sexualhealth/vaginitis', 'https://www.uhs.uga.edu/sexualhealth/oral_sex']",9114,75.6,5.82,206,145,61,0.202,0.497,0.128,"['Sun, 16 Aug 2020 19:36:27 GMT', 'Sun, 16 Aug 2020 19:36:28 GMT', 'Sun, 16 Aug 2020 19:36:28 GMT', 'Sun, 16 Aug 2020 19:36:28 GMT', 'Sun, 16 Aug 2020 19:36:29 GMT', 'Sun, 16 Aug 2020 19:36:29 GMT', 'Sun, 16 Aug 2020 19:36:29 GMT', 'Sun, 16 Aug 2020 19:36:30 GMT', 'Sun, 16 Aug 2020 19:36:30 GMT', 'Sun, 16 Aug 2020 19:36:30 GMT']",2,"['https://www.uhs.uga.edu', 'https://www.uhs.uga.edu/sexualhealth/menshealth', 'https://www.uhs.uga.edu/sexualhealth/mens-sexual-health']",1
Gordon State College,https://www.gordonstate.edu/student-life/health-recreation/health-center,,,,,,,,,,,,,,,0
Savannah State University,https://www.savannahstate.edu/health-services,,,,,,,,,,,,,,,0
Valdosta State University,https://www.valdosta.edu/administration/student-affairs/student-health,,,,,,,,,,,,,,,0
University of West Georgia,https://www.westga.edu/student-services/health,2,"['https://www.westga.edu/student-services/health/resources.php', 'https://www.westga.edu/student-services/health/program-opportunities.php']",19166,65.48,7.07,5,3,2,0.05,0.479,0.194,"[-1, -1]",1,"['https://www.westga.edu/student-services/health', 'https://www.westga.edu/student-services/health/resources.php']",1
University of Hawaii at Hilo,https://hilo.hawaii.edu/studentaffairs/health,2,"['https://hilo.hawaii.edu/studentaffairs/health/services.php', 'https://hilo.hawaii.edu/studentaffairs/health/']",1821,65.59,8.17,8,4,4,0.045,0.596,0.159,"[-1, -1]",0,['https://hilo.hawaii.edu/studentaffairs/health'],1
University of Hawaii at Manoa,https://www.hawaii.edu/shs,2,"['https://www.hawaii.edu/shs/health_promotion/resource_center.php', 'https://www.hawaii.edu/shs/health_promotion/lokahi_program.php']",1794,63,8.51,6,4,2,0.049,0.546,0.31,"[-1, -1]",1,"['https://www.hawaii.edu/shs', 'https://www.hawaii.edu/shs/health_promotion/lokahi_program.php']",1
University of Hawaii West Oahu,https://westoahu.hawaii.edu/current-students/health-and-wellness,,,,,,,,,,,,,,,0
Boise State University,https://www.boisestate.edu/healthservices,3,"['https://www.boisestate.edu/healthservices/sexual-health/', 'https://www.boisestate.edu/healthservices/health-spring-break/', 'https://www.boisestate.edu/healthservices/medical-services/contraception/']",1079,73.72,6.23,4,3,1,0.04,0.49,0.277,"[-1, -1, -1]",3,"['https://www.boisestate.edu/healthservices', 'https://www.boisestate.edu/healthservices/services/', 'https://www.boisestate.edu/healthservices/medical/', 'https://www.boisestate.edu/healthservices/sexual-health/']",1
Idaho State University,https://www.isu.edu/healthcenter,,,,,,,,,,,,,,,0
University of Idaho,https://www.uidaho.edu/current-students/student-health-services,,,,,,,,,,,,,,,0
Lewis Clark State College,https://www.lcsc.edu/student-health,,,,,,,,,,,,,,,0
Chicago State University,https://www.csu.edu/collegeofhealthsciences/wellnesscenter,,,,,,,,,,,,,,,0
Eastern Illinois University,https://www.eiu.edu/health,3,"['https://www.eiu.edu/health/pharmacy.php', 'https://www.eiu.edu/health/OTC%20Price%20List.pdf']",822,68.29,8.05,2,1,1,0.024,0.581,0.153,"[-1, 'Tue, 13 Aug 2019 12:45:38 GMT', 'Fri, 17 Jul 2020 14:24:17 GMT']",1,"['https://www.eiu.edu/health', 'https://www.eiu.edu/health/pharmacy.php']",1
Governors State University,https://www.govst.edu/advocate-health-center,,,,,,,,,,,,,,,0
University of Illinois at Chicago,https://hospital.uillinois.edu/primary-and-specialty-care/family-medicine/student-health,,,,,,,,,,,,,,,0
University of Illinois at Urbana Champaign,https://www.mckinley.illinois.edu,,,,,,,,,,,,,,,0
Illinois State University,https://healthservices.illinoisstate.edu,3,['https://healthservices.illinoisstate.edu/pharmacy/birth-control.shtml'],168,60.17,8.12,2,1,1,0.033,0.565,0.14,"['Fri, 21 Jul 2017 18:42:00 GMT', -1, 'Fri, 21 Jul 2017 18:42:05 GMT']",2,"['https://healthservices.illinoisstate.edu', 'https://healthservices.illinoisstate.edu/pharmacy/', 'https://healthservices.illinoisstate.edu/pharmacy/birth-control.shtml']",1
Northern Illinois University,https://www.niu.edu/health-services,,,,,,,,,,,,,,,0
Northeastern Illinois University,https://www.neiu.edu/university-life/student-health-services,2,"['https://www.neiu.edu/university-life/student-health-services/services', 'https://www.neiu.edu/university-life/student-health-services/faqs']",1889,78.64,5.08,14,7,7,0.072,0.63,0.21,"[-1, -1]",1,"['https://www.neiu.edu/university-life/student-health-services', 'https://www.neiu.edu/university-life/student-health-services/faqs']",1
University of Illinois at Springfield,https://www.uis.edu/healthservices,5,"['https://www.uis.edu/healthservices/forms/', 'https://www.uis.edu/healthservices/services/', 'https://www.uis.edu/healthservices/wp-content/uploads/sites/102/2013/04/womens-health-update-53965-1.pdf']",2439,70.58,6.41,3,2,1,0.039,0.729,0.032,"[-1, -1, 'Wed, 30 Nov 2016 15:32:43 GMT', 'Wed, 30 Nov 2016 15:43:48 GMT', 'Thu, 10 Nov 2016 21:42:24 GMT']",1,"['https://www.uis.edu/healthservices', 'https://www.uis.edu/healthservices/forms/']",1
Southern Illinois University Carbondale,https://shc.siu.edu,,,,,,,,,,,,,,,0
Southern Illinois University Edwardsville,https://www.siue.edu/healthservice,10,"['https://www.siue.edu/healthservice/info/std.shtml', 'https://www.siue.edu/healthservice/faq.shtml', 'https://www.siue.edu/healthservice/travelers.shtml', 'https://www.siue.edu/healthservice/', 'https://www.siue.edu/healthservice/forms/brochures/HPV%20factsheet%20March%202014.pdf', 'http://www.siue.edu/healthservice/forms/brochures/Urinary%20Tract%20Infections%20Adults.pdf']",4685,75.02,5.98,11,6,5,0.058,0.505,0.105,"['Thu, 16 Jul 2020 20:44:02 GMT', -1, 'Thu, 16 Jul 2020 20:44:03 GMT', -1, -1, -1, 'Thu, 16 Jul 2020 20:44:03 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', -1]",0,['https://www.siue.edu/healthservice'],1
Western Illinois University,http://www.wiu.edu/student_services/beu_health_center,,,,,,,,,,,,,,,0
Ball State University,https://www.bsu.edu/campuslife/healthcenter,6,"['https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/hpv', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/herpes', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/trichomonas', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/gcct', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception']",3778,70.79,7.2,15,8,7,0.043,0.516,0.063,"[-1, -1, -1, -1, -1, -1]",2,"['https://www.bsu.edu/campuslife/healthcenter', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections']",1
Indiana University Purdue University Fort Wayne,https://www.pfw.edu/clinic,,,,,,,,,,,,,,,0
Indiana University Purdue University Indianapolis,https://health.iupui.edu,,,,,,,,,,,,,,,0
University of Southern Indiana,https://www.usi.edu/healthcenter,1,['https://www.usi.edu/healthcenter/services/womens-health'],291,69.66,6.17,2,1,1,0.027,0.762,0.048,[-1],2,"['https://www.usi.edu/healthcenter', 'https://www.usi.edu/healthcenter/services/', 'https://www.usi.edu/healthcenter/services/womens-health']",1
Indiana State University,https://www.indstate.edu/health-center,,,,,,,,,,,,,,,0
Indiana University Kokomo,https://www.iuk.edu/health-center,,,,,,,,,,,,,,,0
Indiana University South Bend,https://healthscience.iusb.edu/health-and-wellness-center,1,['https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html'],809,61.68,8.12,4,2,2,0.04,0.567,0.104,[-1],1,"['https://healthscience.iusb.edu/health-and-wellness-center', 'https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html']",1
Indiana University Bloomington,https://healthcenter.indiana.edu,10,"['https://healthcenter.indiana.edu/health-answers/sexual-health/condoms.html', 'https://healthcenter.indiana.edu/health-answers/contraception/condoms.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/safety-products.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html', 'https://healthcenter.indiana.edu/health-answers/contraception/emergency-contraception.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/index.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/prep-hiv-prevention.html', 'https://healthcenter.indiana.edu/health-answers/contraception/ring.html', 'https://healthcenter.indiana.edu/health-answers/contraception/progestin.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/sti.html']",10105,59.93,9.29,301,200,101,0.159,0.545,0.124,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,"['https://healthcenter.indiana.edu', 'https://healthcenter.indiana.edu/contact/request-presentations.html', 'https://healthcenter.indiana.edu/contact/wellness-form.html']",1
Indiana University Northwest,https://www.iun.edu/chhs/health-wellness-center-clinic,,,,,,,,,,,,,,,0
Indiana University East,https://www.iue.edu/health,1,['https://www.iue.edu/health/'],861,88.46,3.42,2,1,1,0.03,0.623,0.23,[-1],0,['https://www.iue.edu/health'],1
Purdue University Calumet Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,0
Purdue University North Central Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,0
Iowa State University,https://health.iastate.edu,10,"['https://health.iastate.edu/wellness/condom-distribution/', 'https://health.iastate.edu/services/sexual-health-2/', 'https://health.iastate.edu/wellness/resources/', 'https://health.iastate.edu/resources/faq/', 'https://health.iastate.edu/services/womens-health/', 'https://health.iastate.edu/doctors/', 'https://health.iastate.edu/wellness/alcoholedu/']",4196,71.84,6.4,72,45,27,0.151,0.605,0.123,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://health.iastate.edu', 'https://health.iastate.edu/wellness/resources/']",1
University of Iowa,https://studenthealth.uiowa.edu,8,"['https://studenthealth.uiowa.edu/services/sexual-health/', 'https://studenthealth.uiowa.edu/resources/self-care-guide/sexual-health/', 'https://studenthealth.uiowa.edu/assets/health-history-form-with-gyn.pdf', 'https://studenthealth.uiowa.edu/fall-2020/', 'https://studenthealth.uiowa.edu/assets/Uploads/2017-NCHA-Report3.pdf']",2020,72.49,6.59,7,5,2,0.05,0.38,0.216,"[-1, -1, 'Fri, 12 Apr 2019 17:48:40 GMT', 'Mon, 11 May 2020 19:08:31 GMT', -1, -1, -1, -1]",1,"['https://studenthealth.uiowa.edu', 'https://studenthealth.uiowa.edu/fall-2020/']",1
University of Northern Iowa,https://health.uni.edu,2,['https://health.uni.edu/services/lab-testing'],677,63.56,9.38,3,2,1,0.047,0.553,0.152,"['Sun, 16 Aug 2020 19:56:55 GMT', 'Thu, 31 Jan 2019 19:57:21 GMT']",2,"['https://health.uni.edu', 'https://health.uni.edu/health-services', 'https://health.uni.edu/services/lab-testing']",1
Emporia State University,https://www.emporia.edu/student-life/health-wellness/student-health-services,1,['https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-frequently-asked-questions/'],1607,80.05,6.09,2,1,1,0.026,0.634,0.029,[-1],1,"['https://www.emporia.edu/student-life/health-wellness/student-health-services', 'https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-frequently-asked-questions/']",1
Fort Hays State University,https://www.fhsu.edu/student-health,,,,,,,,,,,,,,,0
University of Kansas,https://studenthealth.ku.edu,10,"['http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/safersextools.pdf', 'https://studenthealth.ku.edu/sexual-health', 'https://studenthealth.ku.edu/womens-health', 'https://studenthealth.ku.edu/pharmacy', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA17Highlights.pdf', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/toilettalk/ToiletTalkMar2017.pdf?pdf=ToiletTalk-2017-Mar']",44789,71.18,6.5,4,2,2,0.029,0.558,0.158,"['Thu, 14 Nov 2019 15:40:07 GMT', 'Mon, 10 Sep 2018 20:21:35 GMT', 'Sun, 16 Aug 2020 20:57:19 GMT', 'Sun, 16 Aug 2020 20:57:19 GMT', 'Sun, 16 Aug 2020 20:57:20 GMT', 'Mon, 27 Aug 2018 20:23:19 GMT', 'Wed, 23 May 2018 20:18:12 GMT', 'Mon, 27 Aug 2018 20:02:01 GMT', 'Mon, 27 Aug 2018 20:44:10 GMT', 'Wed, 15 Mar 2017 16:47:25 GMT']",0,['https://studenthealth.ku.edu'],1
Kansas State University,https://www.k-state.edu/lafene,8,"['https://www.k-state.edu/lafene/shape/events.html', 'https://www.k-state.edu/lafene/shape/members.html', 'https://www.k-state.edu/lafene/shape/presentations.html', 'https://www.k-state.edu/lafene/documents/NCHA-2018.pdf', 'https://www.k-state.edu/lafene/shape/application.html']",2079,72.63,5.93,3,3,0,0.025,0.47,0.28,"[-1, -1, -1, 'Fri, 06 Jul 2018 19:14:02 GMT', 'Thu, 05 Jul 2018 15:08:28 GMT', 'Tue, 23 Jun 2020 16:36:37 GMT', -1, 'Fri, 06 Jul 2018 14:00:17 GMT']",-1,[],1
Pittsburg State University,https://pittstate.edu/office/health-services,2,['https://www.pittstate.edu/office/health-services/students.html'],2689,61.2,8.72,2,1,1,0.02,0.698,0.107,"[-1, 'Sun, 16 Aug 2020 17:28:14 GMT']",-1,[],1
Washburn University,https://washburn.edu/student-life/services/health-services,,,,,,,,,,,,,,,0
Wichita State University,https://www.wichita.edu/services/studenthealth,,,,,,,,,,,,,,,0
Eastern Kentucky University,https://healthservices.eku.edu,2,['https://healthservices.eku.edu/sexual-health-and-sti-testing'],446,75.06,5.8,2,1,1,0.024,0.421,0.107,"['Sun, 16 Aug 2020 21:00:33 +0000', 'Mon, 04 Aug 2014 20:00:05 GMT']",1,"['https://healthservices.eku.edu', 'https://healthservices.eku.edu/sexual-health-and-sti-testing']",1
Kentucky State University,https://kysu.edu/administration-governance/enrollment-management-and-student-engagement/health-services,,,,,,,,,,,,,,,0
University of Kentucky,https://ukhealthcare.uky.edu/university-health-service/student-health,1,['https://ukhealthcare.uky.edu/university-health-service/student-health/faqs'],1976,97.77,2.49,6,3,3,0.05,0.695,0.177,"['Sun, 16 Aug 2020 20:25:00 GMT']",1,"['https://ukhealthcare.uky.edu/university-health-service/student-health', 'https://ukhealthcare.uky.edu/university-health-service/student-health/faqs']",1
University of Louisville,http://louisville.edu/campushealth,9,"['https://louisville.edu/campushealth/services/medical-care/sexual-health-contraception', 'https://louisville.edu/campushealth/emergencies/contraception', 'https://louisville.edu/campushealth/files/sexually-transmitted-infection', 'https://louisville.edu/campushealth/files/self-care/copy_of_WhatareEmergencyContraceptivePills.pdf', 'https://louisville.edu/campushealth/files/prep-faq-sheet', 'https://louisville.edu/campushealth/files/self-care/guidelines-for-vulvar-skin-care', 'https://louisville.edu/campushealth/files/new-patient-forms']",46252,62.15,7.97,4,2,2,0.038,0.478,0.327,"['Thu, 19 Jul 2018 13:37:06 GMT', 'Tue, 12 Sep 2017 23:40:15 GMT', 'Wed, 19 Mar 2014 13:20:38 GMT', 'Wed, 19 Mar 2014 13:16:28 GMT', 'Mon, 17 Mar 2014 16:16:18 GMT', 'Thu, 12 Jul 2018 20:34:30 GMT', 'Mon, 24 Mar 2014 15:23:26 GMT', 'Sun, 16 Mar 2014 23:41:08 GMT', 'Mon, 19 Feb 2018 19:04:32 GMT']",1,"['http://louisville.edu/campushealth', 'http://louisville.edu/campushealth/about-us/organizational-chart']",1
Morehead State University,https://www.moreheadstate.edu/chs,,,,,,,,,,,,,,,0
Murray State University,https://www.murraystate.edu/campus,,,,,,,,,,,,,,,0
