University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,hormonal_iud_coverage,copper_iud_coverage,contraceptive_implant_coverage,contraceptive_injection_coverage,hormonal_iud_keyword_count,copper_iud_keyword_count,contraceptive_implant_keyword_count,contraceptive_injection_keyword_count,prevalence_metric,coverage_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non-Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo-Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Delaware,https://sites.udel.edu/studenthealth,1,['https://sites.udel.edu/studenthealth/women/'],1101,54.1,10.76,1,1,1,1,4,1,2,3,10,3,7,0,0,0,2,0,1,1,0,0,0,1,0,2,0,0,0,3,0.101,0.662,0.137,[-1],2,"['https://sites.udel.edu/studenthealth', 'https://sites.udel.edu/studenthealth/services/', 'https://sites.udel.edu/studenthealth/women/']",1
University of the District of Columbia,https://www.udc.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Central Florida,https://studenthealth.ucf.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chipola College,http://www.chipola.edu/404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida Agricultural and Mechanical University,http://www.famu.edu,7,"['http://www.famu.edu/index.cfm?shs&GeneralInfoandClinicalServicesFAQ', 'http://www.famu.edu/index.cfm?Architecture&SchoolofArchitecture', 'https://www.famu.edu/alliedHealth/Cancer%20facts%20and%20figures%20for%20African%20Americans.pdf', 'http://www.famu.edu/continuinged/Pharmacy%20Laws%20and%20Rules.pdf']",3320,80.22,4.5,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039,0.728,0.016,"[-1, 'Wed, 30 Apr 2014 21:07:56 GMT', -1, 'Tue, 28 Aug 2012 22:10:54 GMT', 'Fri, 07 Sep 2012 20:20:45 GMT', 'Mon, 27 Aug 2012 22:11:49 GMT', 'Sat, 14 Dec 2013 12:36:04 GMT']",2,"['http://www.famu.edu', 'http://www.famu.edu/index.cfm?FacilitiesPlanning&CampusMap', 'http://www.famu.edu/FacilitiesPlanning/Forms/Vendor%20Work%20Order%20Request%20Form%20(Drawings).doc']",1
Florida Atlantic University,https://www.fau.edu/shs,7,"['http://www.fau.edu/shs/PDFs/2020_01_04_Price_List_NEW_FORMAT.pdf', 'http://www.fau.edu/shs/services/womens.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_oral_contraceptives.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_clinic.php', 'http://www.fau.edu/shs/about/2019_06_03_Price_List.pdf']",2193,52.29,10.53,1,0,0,1,1,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.025,0.543,0.119,"['Fri, 09 Nov 2018 20:52:03 GMT', 'Fri, 10 Jan 2020 22:26:31 GMT', -1, -1, -1, 'Mon, 19 Aug 2013 18:45:57 GMT', 'Mon, 03 Jun 2019 16:02:58 GMT']",0,['https://www.fau.edu/shs'],1
Florida International University,https://studentaffairs.fiu.edu/health-and-fitness/student-health,6,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/_assets/2017%20Fee%20Schedule.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/healthy-panther-resources/reports-and-publications/_assets/pdfs/8.pdf']",395,73.05,5.78,1,1,0,1,2,1,0,1,4,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.042,0.646,-0.081,"[-1, 'Mon, 29 Apr 2019 07:38:15 GMT', 'Wed, 12 Aug 2020 07:14:29 GMT', 'Wed, 12 Aug 2020 07:14:50 GMT', 'Wed, 12 Aug 2020 07:16:00 GMT', 'Wed, 12 Aug 2020 07:16:00 GMT']",2,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php']",1
Florida State University,https://uhs.fsu.edu,2,['https://uhs.fsu.edu/health-care/clinical-services/womens-clinic'],656,73.24,5.94,1,0,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024,0.661,0.079,"[-1, 'Tue, 31 Mar 2020 18:21:12 GMT']",1,"['https://uhs.fsu.edu', 'https://uhs.fsu.edu/health-care/clinical-services/womens-clinic']",1
University of Florida,https://shcc.ufl.edu,2,['https://shcc.ufl.edu/services/specialty-care/gyn/womens-health-ask-the-nurse/'],2413,81.11,6.13,1,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.555,0.009,"[-1, 'Mon, 17 Aug 2020 01:19:11 GMT']",2,"['https://shcc.ufl.edu', 'https://shcc.ufl.edu/services/primary-care/lab/', 'https://shcc.ufl.edu/services/specialty-care/gyn/womens-health-ask-the-nurse/']",1
Indian River State College,https://www.irsc.edu/student-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Florida,https://www.unf.edu/shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of South Florida Main Campus,https://www.usf.edu/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of West Florida,https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Abraham Baldwin Agricultural College,https://www.abac.edu/campus-life/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Albany State University,https://www.asurams.edu/student-affairs/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Armstrong State University,https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus,2,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/womens-health-clinic-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/']",1652,71.72,6.07,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.022,0.681,0.059,"[-1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/']",1
College of Coastal Georgia,https://www.ccga.edu/page.cfm?p=616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Clayton  State University,https://www.clayton.edu/uhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Columbus State University,https://healthservices.columbusstate.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dalton State College,https://www.daltonstate.edu/campus_life/student-health-services.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fort Valley State University,https://www.fvsu.edu/student-health1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia Institute of Technology Main Campus,https://health.gatech.edu,4,"['https://health.gatech.edu/services/womens/Contraception', 'https://health.gatech.edu/hg/file/224595', 'https://health.gatech.edu/news/students-pitch-potential-investors-round-one']",4556,66.76,7.68,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.057,0.613,0.147,"['Mon, 17 Aug 2020 06:46:28 GMT', 'Mon, 17 Aug 2020 06:46:28 GMT', 'Mon, 17 Aug 2020 06:46:30 GMT', 'Tue, 28 Apr 2020 14:53:29 GMT']",2,"['https://health.gatech.edu', 'https://health.gatech.edu/services/women', 'https://health.gatech.edu/services/womens/Contraception']",1
Georgia Southwestern State University,https://www.gsw.edu/campus-life/campusliving/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia College & State University,https://www.gcsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia Southern University,https://auxiliary.georgiasouthern.edu/healthservices,9,"['https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/nexplanon/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/intrauterine-device-iud/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/self-pay-rates/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/', 'https://auxiliary.georgiasouthern.edu/healthservices/you-asked-we-answered/', 'https://auxiliary.georgiasouthern.edu/healthservices/payment-for-services/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/injection-clinic/']",8283,74.49,6.39,1,1,1,1,18,7,29,2,56,3,33,0,3,0,5,6,4,0,0,0,0,7,0,29,0,0,0,2,0.084,0.606,0.169,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices', 'https://auxiliary.georgiasouthern.edu/healthservices/2019/07/25/health-services-recognized-for-offering-excellent-health-care-to-students-on-statesboro-campus/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/']",1
Georgia State University,https://health.gsu.edu,1,['https://health.gsu.edu/womens-health/contraceptive-mgt/'],1392,65.05,7.66,0,0,0,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.041,0.666,0.193,[-1],1,"['https://health.gsu.edu', 'https://health.gsu.edu/womens-health/contraceptive-mgt/']",1
University of Georgia,https://www.uhs.uga.edu,11,"['https://www.uhs.uga.edu/sexualhealth/iud', 'https://www.uhs.uga.edu/sexualhealth/nexplanon', 'https://www.uhs.uga.edu/sexualhealth/depo-provera', 'https://www.uhs.uga.edu/sexualhealth/contraception/putoncondom.html', 'https://www.uhs.uga.edu/sexualehealth/nexplanon', 'https://www.uhs.uga.edu/sexualhealth/bc-uhc', 'https://www.uhs.uga.edu/sexualhealth/effectiveness', 'https://www.uhs.uga.edu/sexualhealth/womens-sexual-health', 'https://www.uhs.uga.edu/sexualhealth/sti', 'https://www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/stats']",7050,76.5,5.52,1,1,1,1,14,9,22,14,59,3,21,0,1,0,8,5,0,0,0,0,0,9,1,21,0,1,0,13,0.089,0.547,0.19,"['Mon, 17 Aug 2020 06:52:33 GMT', 'Mon, 17 Aug 2020 06:52:33 GMT', 'Mon, 17 Aug 2020 06:52:34 GMT', 'Mon, 17 Aug 2020 06:52:34 GMT', 'Mon, 17 Aug 2020 06:52:34 GMT', 'Mon, 17 Aug 2020 06:52:35 GMT', 'Mon, 17 Aug 2020 06:52:35 GMT', 'Mon, 17 Aug 2020 06:52:35 GMT', 'Mon, 17 Aug 2020 06:52:36 GMT', 'Mon, 17 Aug 2020 06:52:36 GMT', 'Mon, 17 Aug 2020 06:52:36 GMT']",2,"['https://www.uhs.uga.edu', 'https://www.uhs.uga.edu/sexualhealth/introduction', 'https://www.uhs.uga.edu/sexualhealth/condomexpress']",1
Gordon State College,https://www.gordonstate.edu/student-life/health-recreation/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Savannah State University,https://www.savannahstate.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Valdosta State University,https://www.valdosta.edu/administration/student-affairs/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of West Georgia,https://www.westga.edu/student-services/health,1,['https://www.westga.edu/student-services/health/pharmacy.php'],9647,98.9,1.76,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0.464,0.357,[-1],1,"['https://www.westga.edu/student-services/health', 'https://www.westga.edu/student-services/health/pharmacy.php']",1
University of Hawaii at Hilo,https://hilo.hawaii.edu/studentaffairs/health,2,"['https://hilo.hawaii.edu/studentaffairs/health/services.php', 'https://hilo.hawaii.edu/studentaffairs/health/']",1821,71,6.86,1,1,1,1,2,1,1,2,6,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0.047,0.652,0.095,"[-1, -1]",0,['https://hilo.hawaii.edu/studentaffairs/health'],1
University of Hawaii at Manoa,https://www.hawaii.edu/shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Hawaii West Oahu,https://westoahu.hawaii.edu/current-students/health-and-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Boise State University,https://www.boisestate.edu/healthservices,3,"['https://www.boisestate.edu/healthservices/sexual-health/', 'https://www.boisestate.edu/healthservices/medical-services/contraception/', 'https://www.boisestate.edu/healthservices/staff/']",10739,64.93,7.57,0,0,1,1,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.044,0.437,0.21,"[-1, -1, -1]",1,"['https://www.boisestate.edu/healthservices', 'https://www.boisestate.edu/healthservices/staff/']",1
Idaho State University,https://www.isu.edu/healthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Idaho,https://www.uidaho.edu/current-students/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lewis Clark State College,https://www.lcsc.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chicago State University,https://www.csu.edu/collegeofhealthsciences/wellnesscenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Illinois University,https://www.eiu.edu/health,1,['https://www.eiu.edu/health/womenshealth.php'],536,56.13,8.36,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.027,0.538,0.107,[-1],1,"['https://www.eiu.edu/health', 'https://www.eiu.edu/health/womenshealth.php']",1
Governors State University,https://www.govst.edu/advocate-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Chicago,https://hospital.uillinois.edu/primary-and-specialty-care/family-medicine/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Urbana Champaign,https://www.mckinley.illinois.edu,3,"['https://www.mckinley.illinois.edu/medical-services/womens-health/womens-health-appointments', 'https://www.mckinley.illinois.edu/parents/health-service-fee/charges-medications-and-vaccines', 'https://www.mckinley.illinois.edu/pharmacy/pharmacy/contraceptive-options-summer-2018-fall-2018-spring-2019-registered-students']",1693,71.55,6.29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.76,0.074,"['Mon, 17 Aug 2020 07:05:01 GMT', 'Mon, 17 Aug 2020 07:05:02 GMT', 'Mon, 17 Aug 2020 07:05:02 GMT']",2,"['https://www.mckinley.illinois.edu', 'https://www.mckinley.illinois.edu/medical-services/immunization-allergy-travel-clinic', 'https://www.mckinley.illinois.edu/parents/health-service-fee/charges-medications-and-vaccines']",1
Illinois State University,https://healthservices.illinoisstate.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northern Illinois University,https://www.niu.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northeastern Illinois University,https://www.neiu.edu/university-life/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Springfield,https://www.uis.edu/healthservices,4,"['https://www.uis.edu/healthservices/services/', 'https://www.uis.edu/healthservices/wp-content/uploads/sites/102/2013/04/SexualHistoryQuestionnaire_53966-11.2016.pdf']",1645,83.73,4.81,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.025,0.839,0.021,"['Wed, 30 Nov 2016 15:32:43 GMT', -1, 'Wed, 30 Nov 2016 15:43:48 GMT', 'Thu, 10 Nov 2016 21:42:24 GMT']",1,"['https://www.uis.edu/healthservices', 'https://www.uis.edu/healthservices/services/']",1
Southern Illinois University Carbondale,https://shc.siu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Illinois University Edwardsville,https://www.siue.edu/healthservice,5,"['https://www.siue.edu/healthservice/clinic/index.shtml', 'https://www.siue.edu/healthservice/clinic/womens_health.shtml', 'https://www.siue.edu/healthservice/forms/brochures/PID%20Fact%20Sheet%20July%202014.pdf']",1176,75.5,5.62,0,0,0,1,0,0,0,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.058,0.766,0.081,"[-1, -1, 'Thu, 16 Jul 2020 20:44:02 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', 'Mon, 22 Jun 2020 18:55:52 GMT']",1,"['https://www.siue.edu/healthservice', 'https://www.siue.edu/healthservice/forms/brochures/Tattoo%20care.docx']",1
Western Illinois University,http://www.wiu.edu/student_services/beu_health_center,2,"['http://www.wiu.edu/student_services/beu_health_center/services/pharmacy.php', 'http://www.wiu.edu/student_services/beu_health_center/services/sexual.php']",1529,86.12,4.02,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.733,0.05,"[-1, -1]",1,"['http://www.wiu.edu/student_services/beu_health_center', 'http://www.wiu.edu/student_services/beu_health_center/services/pharmacy.php']",1
Ball State University,https://www.bsu.edu/campuslife/healthcenter,1,['https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception'],636,82.68,4.24,0,0,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.022,0.635,-0.002,[-1],3,"['https://www.bsu.edu/campuslife/healthcenter', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception']",1
Indiana University Purdue University Fort Wayne,https://www.pfw.edu/clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Purdue University Indianapolis,https://health.iupui.edu,1,['https://health.iupui.edu/faq/index.html'],2122,74.84,7.28,0,0,1,1,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.02,0.765,0.053,[-1],1,"['https://health.iupui.edu', 'https://health.iupui.edu/faq/index.html']",1
University of Southern Indiana,https://www.usi.edu/healthcenter,1,['https://www.usi.edu/healthcenter/services/womens-health'],291,70.08,6.09,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.051,0.781,0.044,[-1],2,"['https://www.usi.edu/healthcenter', 'https://www.usi.edu/healthcenter/services/', 'https://www.usi.edu/healthcenter/services/womens-health']",1
Indiana State University,https://www.indstate.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Kokomo,https://www.iuk.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University South Bend,https://healthscience.iusb.edu/health-and-wellness-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Bloomington,https://healthcenter.indiana.edu,11,"['https://healthcenter.indiana.edu/health-answers/gyn-health/depo-provera.html', 'https://healthcenter.indiana.edu/health-answers/contraception/iud.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/nexplanon.html', 'https://healthcenter.indiana.edu/health-answers/contraception/progestin.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/emergency-contraception.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/ring.html', 'https://healthcenter.indiana.edu/health-answers/contraception/birth-control.html', 'https://healthcenter.indiana.edu/medical/medical-clinic/index.html', 'https://healthcenter.indiana.edu/health-answers/contraception/contraceptive-patch.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/pms-pmdd.html']",12284,51.37,10.68,1,1,1,1,36,9,37,63,145,3,52,0,18,0,6,3,4,5,0,0,0,9,0,37,0,0,0,63,0.108,0.491,0.135,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://healthcenter.indiana.edu', 'https://healthcenter.indiana.edu/medical/medical-clinic/index.html']",1
Indiana University Northwest,https://www.iun.edu/chhs/health-wellness-center-clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University East,https://www.iue.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Purdue University Calumet Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Purdue University North Central Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Iowa State University,https://health.iastate.edu,4,"['https://health.iastate.edu/services/womens-health/', 'http://www.health.iastate.edu/wp-content/uploads/2017/08/2017-womens-health-brochure-FINAL.pdf']",475,79.05,4.69,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.066,0.557,0.243,"[-1, -1, -1, -1]",1,"['https://health.iastate.edu', 'https://health.iastate.edu/services/womens-health/']",1
University of Iowa,https://studenthealth.uiowa.edu,3,"['https://studenthealth.uiowa.edu/info/health-fee/', 'https://studenthealth.uiowa.edu/resources/news/reduced-hours-for-in-person-clinic-visits/']",1433,76.34,6.15,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.034,0.655,0.025,"[-1, -1, 'Mon, 11 May 2020 19:08:31 GMT']",1,"['https://studenthealth.uiowa.edu', 'https://studenthealth.uiowa.edu/news/reduced-hours-for-in-person-clinic-visits/']",1
University of Northern Iowa,https://health.uni.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Emporia State University,https://www.emporia.edu/student-life/health-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fort Hays State University,https://www.fhsu.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Kansas,https://studenthealth.ku.edu,4,"['https://studenthealth.ku.edu/womens-health', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA03ExecSum.pdf']",899,66.14,7.28,0,0,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.038,0.617,0.172,"['Mon, 17 Aug 2020 07:18:08 GMT', 'Wed, 15 Mar 2017 16:47:25 GMT', 'Tue, 22 Aug 2017 20:43:05 GMT', 'Tue, 22 Aug 2017 20:43:12 GMT']",1,"['https://studenthealth.ku.edu', 'https://studenthealth.ku.edu/womens-health']",1
Kansas State University,https://www.k-state.edu/lafene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pittsburg State University,https://pittstate.edu/office/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Washburn University,https://washburn.edu/student-life/services/health-services,1,['https://washburn.edu/student-life/services/health-services/health-links.html'],465,81.53,4.06,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.053,0.333,0.1,"['Mon, 17 Aug 2020 06:44:08 GMT']",1,"['https://washburn.edu/student-life/services/health-services', 'https://washburn.edu/student-life/services/health-services/health-links.html']",1
Wichita State University,https://www.wichita.edu/services/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Kentucky University,https://healthservices.eku.edu,1,['https://healthservices.eku.edu/women%E2%80%99s-health-clinic'],516,75.69,6.8,1,1,1,0,4,1,1,0,6,2,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0.023,0.633,0.117,"['Mon, 17 Aug 2020 07:19:09 +0000']",-1,[],1
Kentucky State University,https://kysu.edu/administration-governance/enrollment-management-and-student-engagement/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Kentucky,https://ukhealthcare.uky.edu/university-health-service/student-health,1,['https://ukhealthcare.uky.edu/university-health-service/student-health/services/gyn-gu'],2256,66.06,9.1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.021,0.681,0.27,"['Mon, 17 Aug 2020 07:19:53 GMT']",1,"['https://ukhealthcare.uky.edu/university-health-service/student-health', 'https://ukhealthcare.uky.edu/university-health-service/student-health/services/gyn-gu']",1
University of Louisville,http://louisville.edu/campushealth,4,"['https://louisville.edu/campushealth/emergencies/contraception', 'https://louisville.edu/campushealth/resources/patient-health', 'https://louisville.edu/campushealth/information/forms']",2294,67.13,6.57,1,1,0,1,1,1,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.03,0.678,0.093,"['Tue, 12 Sep 2017 23:40:15 GMT', 'Tue, 04 Sep 2018 18:32:33 GMT', 'Tue, 05 May 2020 17:02:45 GMT', 'Mon, 17 Mar 2014 16:16:18 GMT']",1,"['http://louisville.edu/campushealth', 'http://louisville.edu/campushealth/information/patient-forms']",1
Morehead State University,https://www.moreheadstate.edu/chs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Murray State University,https://www.murraystate.edu/campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northern Kentucky University,https://inside.nku.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Western Kentucky University,https://www.wku.edu/healthservices,2,"['https://www.wku.edu/healthservices/news/index.php?view=article&articleid=839', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=2619']",3138,63.78,10.36,0,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.054,0.517,0.244,"[-1, -1]",-1,[],1
Grambling State University,https://www.gram.edu/student-life/services/health-center,3,"['https://www.gram.edu/student-life/services/health-center/about.php', 'https://www.gram.edu/student-life/services/health-center/services.php']",2484,65.14,7.09,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014,0.722,-0.032,"[-1, -1, -1]",1,"['https://www.gram.edu/student-life/services/health-center', 'https://www.gram.edu/student-life/services/health-center/about.php']",1
