University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,nonhormonal iud,Paragard,contraceptive implant,Nexplanon,contraceptive injection,control shot,Depo - Provera,Depo,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Chipola College,-1,19,"['https://www.mirena-us.com/', 'https://www.plannedparenthood.org/learn/birth-control/iud', 'https://www.nexplanon.com/', 'https://www.skyla-us.com/', 'https://www.paragard.com/', 'https://www.kyleena-us.com/', 'https://www.mayoclinic.org/tests-procedures/mirena/about/pac-20391354', 'https://www.liletta.com/', 'https://www.mayoclinic.org/tests-procedures/paragard/about/pac-20391270', 'https://www.nhs.uk/conditions/contraception/contraceptive-injection/', 'https://www.plannedparenthood.org/learn/birth-control/birth-control-shot', 'https://www.mayoclinic.org/tests-procedures/depo-provera/about/pac-20392204', 'https://www.depoautolamp.com/', 'https://www.plannedparenthood.org/learn/birth-control/birth-control-shot/what-are-the-disadvantages-of-the-birth-control-shot', 'https://www.webmd.com/sex/birth-control/birth-control-depo-provera', 'https://www.cigna.com/individuals-families/plans-services/plans-through-employer/depo', 'https://www.pfizer.com/products/product-detail/depo_provera', 'https://www.healthline.com/health/birth-control-depo-provera-shot']",22934,75.44,5.81,1125,159,0,29,15,150,60,71,58,16,1,1,179,0,42,22,21,131,170,0.121,0.501,0.126,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'Tue, 19 Oct 2010 20:45:23 GMT', -1, 'Thu, 17 Sep 2020 12:15:31 GMT', -1]",-1,[],1
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Florida Agricultural and Mechanical University,http://www.famu.edu,8,"['http://www.famu.edu/index.cfm?shs&GeneralInfoandClinicalServicesFAQ', 'http://www.famu.edu/index.cfm?Architecture&SchoolofArchitecture', 'https://www.famu.edu/alliedHealth/Cancer%20facts%20and%20figures%20for%20African%20Americans.pdf', 'http://www.famu.edu/oied/UserFiles/File/2004-12-03.pdf']",3364,81.27,4.47,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.039,0.673,0.085,"[-1, 'Wed, 30 Apr 2014 21:07:56 GMT', -1, 'Tue, 28 Aug 2012 22:10:54 GMT', 'Fri, 07 Sep 2012 20:20:45 GMT', 'Mon, 27 Aug 2012 22:11:49 GMT', 'Tue, 28 Aug 2012 22:22:20 GMT', 'Sat, 14 Dec 2013 12:36:04 GMT']",2,"['http://www.famu.edu', 'http://www.famu.edu/index.cfm?a=generalcounsel', 'http://www.famu.edu/generalcounsel/Regulation%20Notice%20Template.doc']",1
Florida Atlantic University,https://fau.edu/shs,7,"['http://fau.edu/shs/PDFs/2020_01_04_Price_List_NEW_FORMAT.pdf', 'http://www.fau.edu/shs/services/womens.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_oral_contraceptives.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_clinic.php', 'http://www.fau.edu/shs/about/2019_06_03_Price_List.pdf']",2193,52.29,10.53,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.025,0.543,0.119,"['Fri, 09 Nov 2018 20:52:03 GMT', 'Fri, 10 Jan 2020 22:26:31 GMT', -1, -1, -1, 'Mon, 19 Aug 2013 18:45:57 GMT', 'Mon, 03 Jun 2019 16:02:58 GMT']",0,['https://fau.edu/shs'],1
Florida International University,https://studentaffairs.fiu.edu/health-and-fitness/student-health,7,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/_assets/2017%20Fee%20Schedule.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/fees/_assets/20524_sta_insert-08312p-fy21-final.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/healthy-panther-resources/reports-and-publications/_assets/pdfs/7.pdf']",406,60.97,8.85,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0.031,0.548,-0.041,"[-1, 'Wed, 16 Sep 2020 14:01:23 GMT', 'Wed, 16 Sep 2020 13:59:08 GMT', 'Wed, 16 Sep 2020 13:59:08 GMT', 'Wed, 16 Sep 2020 13:59:40 GMT', 'Wed, 16 Sep 2020 14:00:54 GMT', 'Wed, 16 Sep 2020 14:00:53 GMT']",2,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/womens-health/index.php']",1
Florida State University,https://uhs.fsu.edu,3,['https://uhs.fsu.edu/health-care/clinical-services/womens-clinic'],672,73.24,5.94,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.024,0.661,0.079,"['Tue, 31 Mar 2020 18:20:07 GMT', -1, 'Tue, 31 Mar 2020 18:21:12 GMT']",1,"['https://uhs.fsu.edu', 'https://uhs.fsu.edu/health-care/clinical-services/womens-clinic']",1
University of Florida,https://shcc.ufl.edu,2,['https://shcc.ufl.edu/services/specialty-care/gyn/womens-health-ask-the-nurse/'],2420,81.11,6.13,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.555,0.009,"['Fri, 16 Sep 2011 14:11:56 GMT', 'Thu, 17 Sep 2020 15:45:27 GMT']",2,"['https://shcc.ufl.edu', 'https://shcc.ufl.edu/services/primary-care/radiology/', 'https://shcc.ufl.edu/services/specialty-care/gyn/womens-health-ask-the-nurse/']",1
Indian River State College,https://www.irsc.edu/student-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of North Florida,https://www.unf.edu/shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of South Florida Main Campus,https://www.usf.edu/student-affairs/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
The University of West Florida,https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Abraham Baldwin Agricultural College,https://www.abac.edu/campus-life/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Albany State University,https://www.asurams.edu/student-affairs/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Armstrong State University,https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus,2,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/womens-health-clinic-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/']",1642,72.89,5.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.022,0.692,0.051,"[-1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/']",1
College of Coastal Georgia,https://www.ccga.edu/page.cfm?p=616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Clayton  State University,https://www.clayton.edu/uhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Columbus State University,https://healthservices.columbusstate.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dalton State College,https://www.daltonstate.edu/campus_life/student-health-services.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fort Valley State University,https://www.fvsu.edu/student-health1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia Institute of Technology Main Campus,https://health.gatech.edu,3,"['https://health.gatech.edu/services/womens/Contraception', 'https://health.gatech.edu/hg/file/224595', 'https://health.gatech.edu/news/students-pitch-potential-investors-round-one']",4548,66.76,7.68,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.057,0.613,0.147,"['Thu, 17 Sep 2020 16:46:39 GMT', 'Thu, 17 Sep 2020 16:46:40 GMT', 'Thu, 17 Sep 2020 16:46:42 GMT']",2,"['https://health.gatech.edu', 'https://health.gatech.edu/services/women', 'https://health.gatech.edu/services/womens/Contraception']",1
Georgia Southwestern State University,https://www.gsw.edu/campus-life/campusliving/healthservices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia College & State University,https://www.gcsu.edu/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Georgia Southern University,https://auxiliary.georgiasouthern.edu/healthservices,9,"['https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/nexplanon/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/intrauterine-device-iud/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/womens-and-mens-health/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/self-pay-rates/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/', 'https://auxiliary.georgiasouthern.edu/healthservices/you-asked-we-answered/', 'https://auxiliary.georgiasouthern.edu/healthservices/payment-for-services/', 'https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/services-armstrong/injection-clinic-armstrong/', 'https://auxiliary.georgiasouthern.edu/healthservices/clinic-services/injection-clinic/']",8238,74.89,6.34,92,34,0,3,0,5,6,4,0,0,0,0,7,0,29,0,0,2,2,0.082,0.622,0.158,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices', 'https://auxiliary.georgiasouthern.edu/healthservices/sexual-assault-assistance/', 'https://auxiliary.georgiasouthern.edu/healthservices/statesboro-campus/eligibility-and-fees/']",1
Georgia State University,https://health.gsu.edu,1,['https://health.gsu.edu/womens-health/contraceptive-mgt/'],1393,65.59,7.62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.041,0.666,0.193,[-1],1,"['https://health.gsu.edu', 'https://health.gsu.edu/womens-health/contraceptive-mgt/']",1
University of Georgia,https://www.uhs.uga.edu,11,"['https://www.uhs.uga.edu/sexualhealth/iud', 'https://www.uhs.uga.edu/sexualhealth/nexplanon', 'https://www.uhs.uga.edu/sexualhealth/depo-provera', 'https://www.uhs.uga.edu/sexualhealth/contraception/birth_control_pills.html', 'https://www.uhs.uga.edu/sexualehealth/nexplanon', 'https://www.uhs.uga.edu/sexualhealth/bc-uhc', 'https://www.uhs.uga.edu/sexualhealth/womens-sexual-health', 'https://www.uhs.uga.edu/sexualhealth/oral_sexhttps://www.uhs.uga.edu/sexualhealth/oral_sex', 'https://www.uhs.uga.edu/sexualhealth/sti', 'https://www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/stats']",7194,76.62,5.51,96,21,0,1,0,8,5,0,0,0,0,0,9,1,21,0,1,14,15,0.088,0.541,0.184,"['Thu, 17 Sep 2020 17:00:57 GMT', 'Thu, 17 Sep 2020 17:00:57 GMT', 'Thu, 17 Sep 2020 17:00:57 GMT', 'Thu, 17 Sep 2020 17:00:58 GMT', 'Thu, 17 Sep 2020 17:00:58 GMT', 'Thu, 17 Sep 2020 17:00:58 GMT', 'Thu, 17 Sep 2020 17:00:59 GMT', 'Thu, 17 Sep 2020 17:00:59 GMT', 'Thu, 17 Sep 2020 17:00:59 GMT', 'Thu, 17 Sep 2020 17:01:00 GMT', 'Thu, 17 Sep 2020 17:01:00 GMT']",2,"['https://www.uhs.uga.edu', 'https://www.uhs.uga.edu/healthpromotion/hp-intro', 'https://www.uhs.uga.edu/sexualhealth/condomexpress']",1
Gordon State College,https://www.gordonstate.edu/student-life/health-recreation/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Savannah State University,https://www.savannahstate.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Valdosta State University,https://www.valdosta.edu/administration/student-affairs/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of West Georgia,https://www.westga.edu/student-services/health,1,['https://www.westga.edu/student-services/health/pharmacy.php'],7666,98.9,1.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0.464,0.357,[-1],1,"['https://www.westga.edu/student-services/health', 'https://www.westga.edu/student-services/health/pharmacy.php']",1
University of Hawaii at Hilo,https://hilo.hawaii.edu/studentaffairs/health,2,"['https://hilo.hawaii.edu/studentaffairs/health/services.php', 'https://hilo.hawaii.edu/studentaffairs/health/']",1933,77.29,5.46,17,4,0,0,0,2,1,1,0,0,0,0,2,0,2,0,0,2,3,0.064,0.632,0.096,"[-1, -1]",0,['https://hilo.hawaii.edu/studentaffairs/health'],1
University of Hawaii at Manoa,http://www.hawaii.edu/shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Hawaii West Oahu,https://westoahu.hawaii.edu/current-students/health-and-wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Boise State University,https://www.boisestate.edu/healthservices,3,"['https://www.boisestate.edu/healthservices/sexual-health/', 'https://www.boisestate.edu/healthservices/medical-services/contraception/', 'https://www.boisestate.edu/healthservices/staff/']",10740,64.95,7.63,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.042,0.455,0.204,"[-1, -1, -1]",1,"['https://www.boisestate.edu/healthservices', 'https://www.boisestate.edu/healthservices/staff/']",1
Idaho State University,https://www.isu.edu/healthcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Idaho,https://www.uidaho.edu/current-students/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lewis Clark State College,https://www.lcsc.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chicago State University,https://www.csu.edu/collegeofhealthsciences/wellnesscenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Illinois University,https://www.eiu.edu/health,1,['https://www.eiu.edu/health/womenshealth.php'],538,54.72,8.63,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.026,0.515,0.131,[-1],1,"['https://www.eiu.edu/health', 'https://www.eiu.edu/health/womenshealth.php']",1
Governors State University,https://www.govst.edu/advocate-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Chicago,https://hospital.uillinois.edu/primary-and-specialty-care/family-medicine/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Urbana Champaign,https://www.mckinley.illinois.edu,4,"['https://www.mckinley.illinois.edu/medical-services/womens-health', 'https://www.mckinley.illinois.edu/medical-services/womens-health/womens-health-appointments', 'https://www.mckinley.illinois.edu/mckinley-health-center-operational-update', 'https://www.mckinley.illinois.edu/pharmacy/pharmacy/contraceptive-options-summer-2018-fall-2018-spring-2019-registered-students']",2922,67.94,8.31,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.038,0.638,0.156,"['Thu, 17 Sep 2020 16:31:22 GMT', 'Thu, 17 Sep 2020 16:48:41 GMT', 'Thu, 17 Sep 2020 17:16:16 GMT', 'Thu, 17 Sep 2020 17:16:16 GMT']",1,"['https://www.mckinley.illinois.edu', 'https://www.mckinley.illinois.edu/medical-services/womens-health']",1
Illinois State University,https://healthservices.illinoisstate.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northern Illinois University,https://www.niu.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northeastern Illinois University,https://www.neiu.edu/university-life/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Illinois at Springfield,https://www.uis.edu/healthservices,4,"['https://www.uis.edu/healthservices/services/', 'https://www.uis.edu/healthservices/wp-content/uploads/sites/102/2013/04/SexualHistoryQuestionnaire_53966-11.2016.pdf']",1642,85.36,4.76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.023,0.839,0.021,"['Wed, 30 Nov 2016 15:32:43 GMT', -1, 'Wed, 30 Nov 2016 15:43:48 GMT', 'Thu, 10 Nov 2016 21:42:24 GMT']",1,"['https://www.uis.edu/healthservices', 'https://www.uis.edu/healthservices/services/']",1
Southern Illinois University Carbondale,https://shc.siu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Southern Illinois University Edwardsville,https://www.siue.edu/healthservice,5,"['https://www.siue.edu/healthservice/clinic/index.shtml', 'https://www.siue.edu/healthservice/clinic/womens_health.shtml', 'https://www.siue.edu/healthservice/forms/brochures/PID%20Fact%20Sheet%20July%202014.pdf']",1176,76.24,5.55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0.054,0.778,0.073,"[-1, -1, 'Thu, 16 Jul 2020 20:44:02 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', 'Mon, 22 Jun 2020 18:55:52 GMT']",1,"['https://www.siue.edu/healthservice', 'https://www.siue.edu/healthservice/forms/brochures/Tattoo%20care.docx']",1
Western Illinois University,http://www.wiu.edu/student_services/beu_health_center,2,"['http://www.wiu.edu/student_services/beu_health_center/services/pharmacy.php', 'http://www.wiu.edu/student_services/beu_health_center/services/sexual.php']",1529,82.79,4.63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.035,0.74,0.02,"[-1, -1]",1,"['http://www.wiu.edu/student_services/beu_health_center', 'http://www.wiu.edu/student_services/beu_health_center/services/sexual.php']",1
Ball State University,https://www.bsu.edu/campuslife/healthcenter,1,['https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception'],636,83.15,4.24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.022,0.635,-0.002,[-1],3,"['https://www.bsu.edu/campuslife/healthcenter', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception']",1
Indiana University Purdue University Fort Wayne,https://www.pfw.edu/clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Purdue University Indianapolis,https://health.iupui.edu,1,['https://health.iupui.edu/faq/index.html'],2122,74.84,7.28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.02,0.765,0.053,[-1],1,"['https://health.iupui.edu', 'https://health.iupui.edu/faq/index.html']",1
University of Southern Indiana,https://www.usi.edu/healthcenter,1,['https://www.usi.edu/healthcenter/services/womens-health'],291,70.08,6.09,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.051,0.781,0.044,[-1],2,"['https://www.usi.edu/healthcenter', 'https://www.usi.edu/healthcenter/services/', 'https://www.usi.edu/healthcenter/services/womens-health']",1
Indiana State University,https://www.indstate.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Kokomo,https://www.iuk.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University South Bend,https://healthscience.iusb.edu/health-and-wellness-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Bloomington,https://healthcenter.indiana.edu,11,"['https://healthcenter.indiana.edu/health-answers/gyn-health/depo-provera.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/nexplanon.html', 'https://healthcenter.indiana.edu/health-answers/contraception/iud.html', 'https://healthcenter.indiana.edu/health-answers/contraception/progestin.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/emergency-contraception.html', 'https://healthcenter.indiana.edu/health-answers/contraception/ring.html', 'https://healthcenter.indiana.edu/health-answers/contraception/birth-control.html', 'https://healthcenter.indiana.edu/medical/medical-clinic/index.html', 'https://healthcenter.indiana.edu/health-answers/contraception/contraceptive-patch.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/pms-pmdd.html']",12315,52.47,10.56,279,54,0,18,0,6,3,4,5,0,0,0,9,0,36,0,0,70,74,0.109,0.491,0.133,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://healthcenter.indiana.edu', 'https://healthcenter.indiana.edu/medical/medical-clinic/index.html']",1
Indiana University Northwest,https://www.iun.edu/chhs/health-wellness-center-clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University East,https://www.iue.edu/health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Purdue University Calumet Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Purdue University North Central Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Iowa State University,https://health.iastate.edu,2,['https://health.iastate.edu/services/womens-health/'],473,77.35,4.98,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.059,0.604,0.137,"[-1, -1]",1,"['https://health.iastate.edu', 'https://health.iastate.edu/services/womens-health/']",1
University of Iowa,https://studenthealth.uiowa.edu,4,"['https://studenthealth.uiowa.edu/services/', 'https://studenthealth.uiowa.edu/info/health-fee/', 'https://studenthealth.uiowa.edu/resources/news/reduced-hours-for-in-person-clinic-visits/']",2216,66.68,7.4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.041,0.594,0.175,"[-1, -1, -1, 'Mon, 11 May 2020 19:08:31 GMT']",1,"['https://studenthealth.uiowa.edu', 'https://studenthealth.uiowa.edu/services/']",1
University of Northern Iowa,https://health.uni.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Emporia State University,https://www.emporia.edu/student-life/health-wellness/student-health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fort Hays State University,https://www.fhsu.edu/student-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Kansas,https://studenthealth.ku.edu,4,"['https://studenthealth.ku.edu/womens-health', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA03ExecSum.pdf']",901,66.6,7.52,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.033,0.617,0.172,"['Thu, 17 Sep 2020 17:01:32 GMT', 'Wed, 15 Mar 2017 16:47:25 GMT', 'Tue, 22 Aug 2017 20:43:05 GMT', 'Tue, 22 Aug 2017 20:43:12 GMT']",1,"['https://studenthealth.ku.edu', 'https://studenthealth.ku.edu/womens-health']",1
Kansas State University,https://www.k-state.edu/lafene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pittsburg State University,https://www.pittstate.edu/office/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Washburn University,https://washburn.edu/student-life/services/health-services,1,['https://washburn.edu/student-life/services/health-services/health-links.html'],463,75.23,5.19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.046,0.3,0.18,"['Mon, 14 Sep 2020 06:46:53 GMT']",1,"['https://washburn.edu/student-life/services/health-services', 'https://washburn.edu/student-life/services/health-services/files/SHS%20Release%20of%20Information.docx']",1
Wichita State University,https://www.wichita.edu/services/studenthealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eastern Kentucky University,https://healthservices.eku.edu,1,['https://healthservices.eku.edu/women%E2%80%99s-health-clinic'],504,75.69,6.8,7,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0.023,0.633,0.117,"['Thu, 17 Sep 2020 17:34:54 +0000']",-1,[],1
Kentucky State University,https://kysu.edu/administration-governance/enrollment-management-and-student-engagement/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Kentucky,https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Louisville,https://louisville.edu/campushealth,4,"['https://louisville.edu/campushealth/emergencies/contraception', 'https://louisville.edu/campushealth/resources/patient-health', 'https://louisville.edu/campushealth/information/forms']",2294,67.13,6.57,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.03,0.678,0.093,"['Tue, 12 Sep 2017 23:40:15 GMT', 'Tue, 04 Sep 2018 18:32:33 GMT', 'Tue, 05 May 2020 17:02:45 GMT', 'Mon, 17 Mar 2014 16:16:18 GMT']",1,"['https://louisville.edu/campushealth', 'https://louisville.edu/campushealth/information/forms']",1
Morehead State University,https://www.moreheadstate.edu/chs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Murray State University,https://www.murraystate.edu/campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northern Kentucky University,https://inside.nku.edu,6,"['https://inside.nku.edu/president/communication/march-board-of-regents-meeting-summary.html', 'https://inside.nku.edu/content/dam/humanresources/docs/Benefits/LandingPage/BenefitsColumn/Preventive%20Medication%20Coverage.pdf', 'https://inside.nku.edu/content/dam/chase/docs/lawreview/v16/nklr_v16n3.pdf']",2560,39.6,14.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.621,0.11,"[-1, 'Mon, 06 Apr 2020 20:21:00 GMT', 'Thu, 22 Feb 2018 18:33:38 GMT', 'Tue, 16 Oct 2018 15:46:26 GMT', 'Tue, 01 Aug 2017 18:00:16 GMT', 'Fri, 30 Nov 2018 15:21:11 GMT']",3,"['https://inside.nku.edu', 'https://inside.nku.edu/giving.html', 'https://inside.nku.edu/giving/contact.html', 'https://inside.nku.edu/universityadvancement/foundation/rfp-investment.html']",1
Western Kentucky University,https://www.wku.edu/healthservices,1,['https://www.wku.edu/healthservices/news/index.php?view=article&articleid=2619'],1312,61.86,10.66,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.043,0.426,0.41,[-1],-1,[],1
Grambling State University,https://www.gram.edu/student-life/services/health-center,3,"['https://www.gram.edu/student-life/services/health-center/about.php', 'https://www.gram.edu/student-life/services/health-center/services.php']",2464,63.42,7.35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.014,0.69,-0.059,"[-1, -1, -1]",1,"['https://www.gram.edu/student-life/services/health-center', 'https://www.gram.edu/student-life/services/health-center/about.php']",1
Louisiana State University Alexandria,https://www.lsua.edu/campus-life/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Louisiana State University and Agricultural & Mechanical College,https://lsu.edu/shc,3,['https://www.lsu.edu/shc/about/cost-common-services.php'],461,77,4.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016,0.55,-0.167,"['Mon, 23 Oct 2017 14:00:49 GMT', -1, 'Thu, 19 Apr 2018 21:25:19 GMT']",2,"['https://lsu.edu/shc', 'https://lsu.edu/shc/wellness/street-squad.php', 'https://lsu.edu/shc/wellness/streetsquad-jobdescription-jan2020.docx']",1
Louisiana State University Shreveport,https://www.lsuhs.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Louisiana Tech University,https://guiceblog.latech.edu/2016/11/28/a-paige-from-our-student-health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
McNeese State University,https://www.mcneese.edu/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of New Orleans,https://www.uno.edu/campus-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
