University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Birth Control,IUD,Progesterone IUD,Progestin,Hormonal IUD,Mirena,Skyla,Kyleena,Liletta,Copper IUD,Non - Hormonal IUD,Nonhormonal IUD,Paragard,Contraceptive implant,Nexplanon,Contraceptive injection,Control shot,Depo - Provera,Depo,emergency contraception,emergency contraceptives,morning after pill,Plan B,levonorgestrel,ella,ulipristal acetate,contraceptive pill,control pill,diaphragm,spermicide,contraceptive patch,control patch,vaginal ring,control ring,contraceptive ring,cervical cap,pap smear,pap smears,papsmear,papsmears,pap test,pap tests,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Ball State University,https://www.bsu.edu/campuslife/healthcenter,13,"['https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception', 'https://www.bsu.edu/campuslife/healthcenter/faq', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/ec', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/condtreat', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/sexualassault', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/hpv', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/herpes', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/trichomonas', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/gcct', 'https://www.bsu.edu/campuslife/healthcenter/services/immoff']",7804,72.82,6.58,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,2,0,3,0,0,1,1,1,0,0,0,0,0,0,5,2,0,0,0,0,8,7,0.045,0.579,0.084,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://www.bsu.edu/campuslife/healthcenter', 'https://www.bsu.edu/campuslife/healthcenter/faq']",1
Indiana University Purdue University Fort Wayne,https://www.pfw.edu/clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Purdue University Indianapolis,https://health.iupui.edu,5,"['https://health.iupui.edu/faq/index.html', 'https://health.iupui.edu/our-staff/support-staff/white-ella.html', 'https://health.iupui.edu/our-staff/index.html', 'http://health.iupui.edu/he_ed_gen_safe.html']",2707,57.11,9.48,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.036,0.814,0.036,"['Mon, 03 Aug 2020 19:30:37 GMT', -1, -1, -1, -1]",1,"['https://health.iupui.edu', 'https://health.iupui.edu/faq/index.html']",1
University of Southern Indiana,https://www.usi.edu/healthcenter,4,"['https://www.usi.edu/healthcenter/services/womens-health', 'https://www.usi.edu/healthcenter/resources/information-about-conditions-diseases/', 'https://www.usi.edu/healthcenter/about-us/appointments/', 'https://www.usi.edu/healthcenter/services/immunizations']",1076,60.24,7.96,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,1,0.072,0.763,0.074,"[-1, -1, -1, -1]",1,"['https://www.usi.edu/healthcenter', 'https://www.usi.edu/healthcenter/resources/information-about-conditions-diseases/']",1
Indiana State University,https://www.indstate.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University Kokomo,https://www.iuk.edu/health-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University South Bend,https://healthscience.iusb.edu/health-and-wellness-center,3,"['https://healthscience.iusb.edu/health-and-wellness-center/index.html', 'https://healthscience.iusb.edu/health-and-wellness-center/about/index.html', 'https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html']",1660,51.56,9.87,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.013,0.643,0.095,"[-1, -1, -1]",1,"['https://healthscience.iusb.edu/health-and-wellness-center', 'https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html']",1
Indiana University Bloomington,https://healthcenter.indiana.edu,22,"['https://healthcenter.indiana.edu/health-answers/gyn-health/birth-control.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/nexplanon.html', 'https://healthcenter.indiana.edu/health-answers/contraception/iud.html', 'https://healthcenter.indiana.edu/health-answers/contraception/progestin.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/emergency-contraception.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/depo-provera.html', 'https://healthcenter.indiana.edu/health-answers/contraception/ring.html', 'https://healthcenter.indiana.edu/health-answers/contraception/contraceptive-patch.html', 'https://healthcenter.indiana.edu/wellness/index.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/iud.html', 'https://healthcenter.indiana.edu/medical/pharmacy/', 'https://healthcenter.indiana.edu/health-answers/contraception/condoms.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/uti.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/pms-pmdd.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/condoms.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/pap-test.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/abnormal-pap.html', 'https://healthcenter.indiana.edu/health-answers/gyn-health/index.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/safety-products.html', 'https://healthcenter.indiana.edu/health-answers/contraception/emergency-contraception.html', 'https://healthcenter.indiana.edu/about/diversity-inclusion/lgbtq-care.html']",21878,57.1,9.69,905,92,61,0,20,0,6,3,4,5,0,0,0,12,0,36,0,0,76,80,27,0,2,5,9,3,1,0,39,4,10,9,0,0,0,12,0,0,0,0,0,43,16,216,114,0.095,0.524,0.129,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://healthcenter.indiana.edu', 'https://healthcenter.indiana.edu/wellness/index.html']",1
Indiana University Northwest,https://www.iun.edu/chhs/health-wellness-center-clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Indiana University East,https://www.iue.edu/health,1,['https://www.iue.edu/health/'],755,87.12,3.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.005,0.603,0.233,[-1],0,['https://www.iue.edu/health'],1
Purdue University Calumet Campus,https://www.purdue.edu/push,2,"['https://www.purdue.edu/push/Providers/providerbiophotos/katefullbio.html', 'https://www.purdue.edu/push/Medical/index.html']",2156,54.08,10.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.497,0.198,"['Thu, 20 Aug 2020 21:00:49 GMT', 'Fri, 28 Aug 2020 18:00:57 GMT']",1,"['https://www.purdue.edu/push', 'https://www.purdue.edu/push/Medical/index.html']",1
Purdue University North Central Campus,https://www.purdue.edu/push,2,"['https://www.purdue.edu/push/Providers/providerbiophotos/katefullbio.html', 'https://www.purdue.edu/push/Medical/index.html']",2156,54.08,10.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.497,0.198,"['Thu, 20 Aug 2020 21:00:49 GMT', 'Fri, 28 Aug 2020 18:00:57 GMT']",1,"['https://www.purdue.edu/push', 'https://www.purdue.edu/push/Medical/index.html']",1
Iowa State University,https://health.iastate.edu,17,"['https://health.iastate.edu/services/womens-health/', 'https://health.iastate.edu/services/sexual-health-2/', 'https://health.iastate.edu/staff/laura-moeller-m-d/', 'https://health.iastate.edu/hours/default-hours/', 'https://health.iastate.edu/services/mental-health/three-pillars-mental-physical-health/', 'https://health.iastate.edu/about-us/news/', 'https://health.iastate.edu/appointments/office-and-telehealth-visits/', 'https://health.iastate.edu/insurance-billing/isu-health-insurance/', 'https://health.iastate.edu/wellness/condom-distribution/', 'https://health.iastate.edu/wellness/resources/', 'https://health.iastate.edu/resources/faq/', 'https://health.iastate.edu/staff/mary-raman-arnp/', 'https://health.iastate.edu/new-students/bring-campus-checklist/']",7335,74.28,6,96,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,45,27,0.04,0.631,0.131,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://health.iastate.edu', 'https://health.iastate.edu/wellness/condom-distribution/']",1
University of Iowa,https://studenthealth.uiowa.edu,17,"['https://studenthealth.uiowa.edu/services/', 'https://studenthealth.uiowa.edu/services/sexual-health/', 'https://studenthealth.uiowa.edu/info/health-fee/', 'http://studenthealth.uiowa.edu/assets/Travel-Questionnaire-and-Worksheet2.pdf', 'https://studenthealth.uiowa.edu/assets/Uploads/2017-NCHA-Report3.pdf', 'https://studenthealth.uiowa.edu/resources/self-care-guide/sexual-violence/', 'https://studenthealth.uiowa.edu/resources/news/reduced-hours-for-in-person-clinic-visits/', 'https://studenthealth.uiowa.edu/resources/self-care-guide/sexual-health/', 'https://studenthealth.uiowa.edu/services/medical-services/', 'https://studenthealth.uiowa.edu/graduating-students/', 'https://studenthealth.uiowa.edu/fall-2020/', 'https://studenthealth.uiowa.edu/assets/Insurance-Question-and-Answer-Pamphlet-9.15.pdf']",6610,63.91,8.33,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,3,0.038,0.498,0.215,"[-1, -1, -1, -1, 'Mon, 11 May 2020 19:08:31 GMT', -1, -1, -1, -1, -1, -1, -1, -1, 'Fri, 12 Apr 2019 17:48:40 GMT', -1, -1, -1]",1,"['https://studenthealth.uiowa.edu', 'https://studenthealth.uiowa.edu/services/']",1
University of Northern Iowa,https://health.uni.edu,16,"['https://health.uni.edu/services/health-education', 'https://health.uni.edu/online-appointment-scheduling', 'https://health.uni.edu/', 'https://health.uni.edu/about/appointments', 'https://health.uni.edu/sites/default/files/uni_travel_consultation_request_form_update_2017.pdf', 'https://health.uni.edu/sites/default/files/healthrequirementimmbrochure2014.pdf', 'https://health.uni.edu/services/lab-testing', 'https://health.uni.edu/services/woman', 'https://health.uni.edu/insurance/faq', 'https://health.uni.edu/sites/default/files/2015-16-uni-ship-departing-students-bklt.pdf', 'https://health.uni.edu/sites/default/files/2017-18_uni_ship_booklet_1.pdf']",5801,70.44,7.73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0.015,0.573,0.158,"['Fri, 18 Sep 2020 13:13:14 GMT', 'Fri, 18 Sep 2020 13:13:14 GMT', 'Fri, 18 Sep 2020 12:59:29 GMT', 'Fri, 18 Sep 2020 13:13:15 GMT', 'Fri, 03 Apr 2020 15:33:50 GMT', 'Fri, 16 Jun 2017 14:49:56 GMT', 'Wed, 15 Feb 2017 16:50:56 GMT', 'Wed, 15 Feb 2017 16:50:55 GMT', 'Fri, 18 Sep 2020 13:13:16 GMT', 'Fri, 18 Sep 2020 13:13:17 GMT', 'Fri, 18 Sep 2020 13:13:17 GMT', 'Thu, 31 Jan 2019 19:57:21 GMT', 'Wed, 15 Feb 2017 16:50:54 GMT', 'Wed, 15 Feb 2017 16:50:55 GMT', 'Wed, 24 May 2017 13:10:05 GMT', 'Thu, 24 May 2018 18:26:27 GMT']",0,['https://health.uni.edu'],1
Emporia State University,https://www.emporia.edu/student-life/health-wellness/student-health-services,3,"['https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-frequently-asked-questions/', 'https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-resources/', 'https://www.emporia.edu/student-life/health-wellness/student-health-services/']",3379,66.61,8.83,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.025,0.61,0.063,"[-1, -1, -1]",0,['https://www.emporia.edu/student-life/health-wellness/student-health-services'],1
Fort Hays State University,https://www.fhsu.edu/student-health,6,"['https://www.fhsu.edu/student-health/Contact-Us/index', 'https://www.fhsu.edu/student-health/documents/Health%20History%20Questionairre%208.01.15%20Ver.%202', 'https://www.fhsu.edu/student-health/Health-Insurance/2020-470-1-summary-brochure-undergrad-grad', 'https://www.fhsu.edu/student-health/Health-Insurance/2019-uhcsummary-brochure', 'https://www.fhsu.edu/student-health/', 'https://www.fhsu.edu/student-health/Services/index']",113242,66.75,7.58,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.024,0.591,0.064,"['Fri, 18 Sep 2020 05:36:58 GMT', 'Fri, 18 Sep 2020 05:36:55 GMT', 'Fri, 18 Sep 2020 05:36:52 GMT', 'Fri, 18 Sep 2020 05:36:52 GMT', 'Fri, 18 Sep 2020 05:36:51 GMT', 'Fri, 18 Sep 2020 05:36:57 GMT']",0,['https://www.fhsu.edu/student-health'],1
University of Kansas,https://studenthealth.ku.edu,19,"['https://studenthealth.ku.edu/womens-health', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA11ExecSum.pdf', 'https://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/IntlHHF.pdf', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA13ExecSum.pdf', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA15ExecSum.pdf', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA06ExecSum.pdf', 'https://studenthealth.ku.edu/pharmacy', 'https://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/toilettalk/ToiletTalkNov2019.pdf', 'https://studenthealth.ku.edu/sexual-health', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/ncha/NCHA17Highlights.pdf', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/toilettalk/ToiletTalkMar2017.pdf?pdf=ToiletTalk-2017-Mar']",44798,69.93,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0.028,0.584,0.183,"['Fri, 18 Sep 2020 13:17:30 GMT', 'Wed, 15 Mar 2017 16:47:25 GMT', 'Tue, 22 Aug 2017 20:43:28 GMT', 'Wed, 29 Jul 2020 18:05:29 GMT', 'Thu, 04 Apr 2019 20:53:41 GMT', 'Wed, 27 Sep 2017 19:52:37 GMT', 'Tue, 22 Aug 2017 20:43:36 GMT', 'Tue, 22 Aug 2017 20:43:19 GMT', 'Tue, 22 Aug 2017 20:44:04 GMT', 'Tue, 22 Aug 2017 20:43:05 GMT', 'Tue, 22 Aug 2017 20:43:12 GMT', 'Fri, 18 Sep 2020 13:17:32 GMT', 'Mon, 10 Sep 2018 20:21:35 GMT', 'Thu, 14 Nov 2019 15:40:07 GMT', 'Fri, 18 Sep 2020 12:33:57 GMT', 'Mon, 27 Aug 2018 20:23:19 GMT', 'Wed, 23 May 2018 20:18:12 GMT', 'Mon, 27 Aug 2018 20:02:01 GMT', 'Mon, 27 Aug 2018 20:44:10 GMT']",1,"['https://studenthealth.ku.edu', 'https://studenthealth.ku.edu/pharmacy']",1
Kansas State University,https://www.k-state.edu/lafene,11,"['https://www.k-state.edu/lafene/services/womens-health/well-woman-exam/index.html', 'https://www.k-state.edu/lafene/documents/NCHA-2020.pdf', 'https://www.k-state.edu/lafene/services/pharmacy/index.html', 'https://www.k-state.edu/lafene/services/womens-health/', 'https://www.k-state.edu/lafene/shape/events.html', 'https://www.k-state.edu/lafene/shape/members.html', 'https://www.k-state.edu/lafene/shape/presentations.html', 'https://www.k-state.edu/lafene/shape/application.html']",3173,73.46,6.08,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.008,0.495,0.252,"[-1, 'Thu, 05 Jul 2018 15:08:28 GMT', 'Tue, 23 Jun 2020 16:36:37 GMT', -1, -1, -1, -1, -1, 'Fri, 06 Jul 2018 19:14:02 GMT', -1, 'Fri, 06 Jul 2018 14:00:17 GMT']",1,"['https://www.k-state.edu/lafene', 'https://www.k-state.edu/lafene/services/womens-health/']",1
Pittsburg State University,https://www.pittstate.edu/office/health-services,6,"['https://www.pittstate.edu/office/health-services/students.html', 'https://www.pittstate.edu/office/health-services/_files/documents/mens-womens-health.pdf', 'https://www.pittstate.edu/office/health-services/student-health-services.html']",3609,70.31,6.63,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.026,0.69,0.007,"['Fri, 18 Sep 2020 05:20:35 GMT', -1, 'Fri, 18 Sep 2020 05:20:33 GMT', 'Fri, 18 Sep 2020 05:20:33 GMT', 'Fri, 18 Sep 2020 05:20:36 GMT', -1]",1,"['https://www.pittstate.edu/office/health-services', 'https://www.pittstate.edu/office/health-services/student-health-services.html']",1
Washburn University,https://washburn.edu/student-life/services/health-services,1,['https://washburn.edu/student-life/services/health-services/health-links.html'],463,70.03,6.1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.037,0.3,0.18,"['Mon, 14 Sep 2020 06:46:53 GMT']",1,"['https://washburn.edu/student-life/services/health-services', 'https://washburn.edu/student-life/services/health-services/health-links.html']",1
Wichita State University,https://www.wichita.edu/services/studenthealth,6,"['https://www.wichita.edu/services/studenthealth/UpcomingEvents.php', 'https://www.wichita.edu/services/studenthealth/medications.php', 'https://www.wichita.edu/services/studenthealth/Services.php']",2026,70.75,5.66,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.026,0.704,0.124,"['Mon, 06 Jul 2020 14:29:24 GMT', -1, -1, 'Thu, 24 Oct 2019 15:30:00 GMT', -1, 'Thu, 24 Oct 2019 15:30:05 GMT']",1,"['https://www.wichita.edu/services/studenthealth', 'https://www.wichita.edu/services/studenthealth/medications.php']",1
Eastern Kentucky University,https://healthservices.eku.edu,3,"['https://healthservices.eku.edu/women%E2%80%99s-health-clinic', 'https://healthservices.eku.edu/sexual-health-and-sti-testing']",938,75.67,6.36,15,5,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.031,0.516,0.073,"['Fri, 18 Sep 2020 13:18:52 +0000', 'Fri, 18 Sep 2020 13:18:52 +0000', 'Mon, 04 Aug 2014 20:00:05 GMT']",1,"['https://healthservices.eku.edu', 'https://healthservices.eku.edu/sexual-health-and-sti-testing']",1
Kentucky State University,https://kysu.edu/administration-governance/enrollment-management-and-student-engagement/health-services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
University of Kentucky,https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services,2,"['https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services', 'https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services/body-positive-kentucky']",4003,69.72,5.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.502,0.246,"['Fri, 18 Sep 2020 10:44:35 GMT', 'Fri, 18 Sep 2020 13:19:21 GMT']",0,['https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services'],1
University of Louisville,https://louisville.edu/campushealth,20,"['https://louisville.edu/campushealth/services/medical-care/sexual-health-contraception', 'https://louisville.edu/campushealth/emergencies/contraception', 'https://louisville.edu/campushealth/resources/patient-health', 'https://louisville.edu/campushealth/files/self-care/copy_of_WhatareEmergencyContraceptivePills.pdf', 'https://louisville.edu/campushealth/files/sexually-transmitted-infection', 'https://louisville.edu/campushealth/information/forms', 'https://louisville.edu/campushealth/files/foreign-travel-forms/', 'https://louisville.edu/campushealth/files/uofl-sports-medicine-physical-form', 'https://louisville.edu/campushealth/files/self-care/copy_of_WhatareEmergencyContraceptivePills.pdf/view', 'https://louisville.edu/campushealth/emergencies/contraception/login', 'https://louisville.edu/campushealth/emergencies', 'https://louisville.edu/campushealth/information/self-care/sexual-health', 'https://louisville.edu/campushealth/about-us/site-map', 'https://louisville.edu/campushealth/emergencies/medical', 'https://louisville.edu/campushealth/services/medical-care/schedule-an-appointment', 'https://louisville.edu/campushealth/services/medical-care', 'https://louisville.edu/campushealth/files/prep-faq-sheet', 'https://louisville.edu/campushealth/files/self-care/guidelines-for-vulvar-skin-care']",31574,72.48,6.18,47,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,4,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,2,0,4,4,0.084,0.556,0.177,"['Thu, 19 Jul 2018 13:37:06 GMT', 'Tue, 12 Sep 2017 23:40:15 GMT', 'Tue, 04 Sep 2018 18:32:33 GMT', 'Wed, 19 Mar 2014 13:16:28 GMT', 'Mon, 17 Mar 2014 16:16:18 GMT', 'Wed, 19 Mar 2014 13:20:38 GMT', 'Tue, 05 May 2020 17:02:45 GMT', 'Fri, 19 Jan 2018 20:19:59 GMT', 'Tue, 30 Jul 2013 20:19:27 GMT', 'Mon, 24 Mar 2014 15:23:26 GMT', -1, -1, 'Tue, 05 Nov 2013 19:29:25 GMT', 'Mon, 17 Mar 2014 16:24:28 GMT', 'Fri, 13 Dec 2019 15:41:07 GMT', 'Thu, 10 Sep 2020 20:35:33 GMT', 'Wed, 01 May 2019 19:04:42 GMT', 'Sat, 26 Oct 2013 14:09:40 GMT', 'Thu, 12 Jul 2018 20:34:30 GMT', 'Sun, 16 Mar 2014 23:41:08 GMT']",1,"['https://louisville.edu/campushealth', 'https://louisville.edu/campushealth/files/healthcare-readiness-checklist']",1
Morehead State University,https://www.moreheadstate.edu/chs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Murray State University,https://www.murraystate.edu/campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Northern Kentucky University,https://inside.nku.edu,27,"['https://inside.nku.edu/hcsw/health/nurse-practitioner-services.html', 'https://inside.nku.edu/hcsw/health.html', 'https://inside.nku.edu/library/find/databases/v/vivawomenshistory.html', 'https://inside.nku.edu/artsci/departments/chemistry/about/diversity/percyjulian.html', 'https://inside.nku.edu/president/communication/march-board-of-regents-meeting-summary.html', 'https://inside.nku.edu/hcsw/resources/online-resources.html', 'https://inside.nku.edu/content/dam/humanresources/docs/Benefits/LandingPage/BenefitsColumn/Preventive%20Medication%20Coverage.pdf', 'https://inside.nku.edu/library/about/news/archive/archive2018/newtitles-dec17.html', 'https://inside.nku.edu/artsci/departments/chemistry/about/diversity.html', 'https://inside.nku.edu/artsci/centers/cinsam/aboutcinsam/people.html', 'https://inside.nku.edu/nkumagazine/2014/november/nku-after-5/late.html', 'https://inside.nku.edu/content/dam/student-government-association/PastAdministrations/docs/sga14-15docs/Minutes%20for%20February%2009.pdf', 'https://inside.nku.edu/library/find/unique-collections/special-collections-archives/alphabeticallist/martin/containerlist.html', 'https://inside.nku.edu/latino.html', 'https://inside.nku.edu/steelyarchives/specialcollections/alphabeticallist/kirtley/container3.html', 'https://inside.nku.edu/hcsw/health/respect-and-protect.html', 'https://inside.nku.edu/content/dam/student-government-association/PastAdministrations/SGA18-19/Resolutions/2018.2019.01%20Hygiene%20Products%20.pdf', 'https://inside.nku.edu/content/dam/humanresources/docs/Benefits/LandingPage/BenefitsColumn/NKU-Brochure-Critical%20Illness.pdf', 'https://inside.nku.edu/content/dam/titleix/docs/Title%20IX%20Introductory%20Training_BrickerEckler.pdf']",17666,62.52,8.57,19,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.016,0.585,0.162,"[-1, -1, 'Fri, 18 Sep 2020 13:00:38 GMT', -1, -1, -1, 'Mon, 06 Apr 2020 20:21:00 GMT', 'Thu, 22 Feb 2018 18:33:38 GMT', 'Fri, 18 Sep 2020 13:00:38 GMT', -1, -1, -1, 'Wed, 13 Dec 2017 20:07:45 GMT', 'Wed, 13 Dec 2017 20:07:40 GMT', 'Wed, 13 Dec 2017 20:07:40 GMT', -1, -1, 'Fri, 18 Sep 2020 13:20:03 GMT', 'Thu, 22 Aug 2019 18:03:14 GMT', -1, 'Thu, 06 Aug 2020 19:10:48 GMT', 'Mon, 15 Apr 2019 22:03:22 GMT', 'Tue, 01 May 2018 13:06:16 GMT', 'Fri, 18 Sep 2020 13:20:03 GMT', 'Thu, 06 Aug 2020 21:19:40 GMT', 'Thu, 06 Aug 2020 20:45:19 GMT', 'Mon, 27 Feb 2017 16:35:19 GMT']",3,"['https://inside.nku.edu', 'https://inside.nku.edu/careerservices/students/HireNKU.html', 'https://inside.nku.edu/careerservices/students/teachercandidates/TeacherJobFairs.html', 'https://inside.nku.edu/content/dam/careerservices/docs/teachercandidates/Teacher%20-%20Sample%20Email%201.docx']",1
