University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
University of Central Florida,https://studenthealth.ucf.edu,4,"['https://studenthealth.ucf.edu/wp-content/uploads/sites/12/2017/03/STIs1.pdf', 'https://studenthealth.ucf.edu/zika/']",1104,65.01,7.96,12,6,6,0.053,0.554,0.134,"['Mon, 13 Mar 2017 18:52:55 GMT', 'Mon, 13 Mar 2017 18:50:58 GMT', -1, 'Mon, 13 Mar 2017 18:53:43 GMT']",0,['https://studenthealth.ucf.edu'],1
Chipola College,-1,10,"['https://www.cdc.gov/condomeffectiveness/male-condom-use.html', 'https://www.nhs.uk/conditions/contraception/male-condoms/', 'https://en.wikipedia.org/wiki/Condom', 'https://www.cdc.gov/condomeffectiveness/index.html', 'https://kidshealth.org/en/teens/contraception-condom.html', 'https://www.webmd.com/sex/birth-control/birth-control-condoms', 'https://www.plannedparenthood.org/learn/birth-control/condom/how-effective-are-condoms', 'https://www.webmd.com/sex/rm-quiz-condoms', 'https://www.plannedparenthood.org/learn/birth-control/condom', 'https://www1.nyc.gov/site/doh/health/health-topics/condom.page']",24715,77.29,5.87,2228,1444,784,0.256,0.551,0.12,"[-1, -1, 'Mon, 14 Sep 2020 12:04:55 GMT', -1, -1, -1, -1, -1, -1, -1]",-1,[],1
Florida SouthWestern State College,https://www.fsw.edu/publichealthresources,,,,,,,,,,,,,,,0
Florida Agricultural and Mechanical University,http://www.famu.edu,10,"['http://www.famu.edu/index.cfm?shs&WellnessCenter', 'http://www.famu.edu/index.cfm?shs&RattlerWellness', 'http://www.famu.edu/index.cfm?shs&Pharmacy', 'http://www.famu.edu/index.cfm?shs&ZikaUpdate', 'http://www.famu.edu/index.cfm?oied&HealthGuidelines', 'https://www.famu.edu/shs/FAMUZika%20%20Update%208-23-2016.pdf', 'http://www.famu.edu/mbrs/userfiles/file/publication-lee.pdf']",5528,60.74,8.94,8,6,2,0.047,0.531,0.135,"[-1, -1, -1, 'Tue, 28 Aug 2012 21:39:01 GMT', -1, -1, 'Mon, 18 Apr 2016 15:24:20 GMT', 'Wed, 24 Aug 2016 13:57:02 GMT', 'Wed, 03 Aug 2016 16:44:34 GMT', 'Tue, 28 Aug 2012 22:10:08 GMT']",2,"['http://www.famu.edu', 'http://www.famu.edu/index.cfm?a=generalcounsel', 'http://www.famu.edu/generalcounsel/University%20Policy%20Template%20%2010.3.17.doc']",1
Florida Atlantic University,https://fau.edu/shs,8,"['http://www.fau.edu/shs/_old/clinic/boca/boca-womens_clinic.php', 'http://www.fau.edu/shs/services/womens.php', 'http://www.fau.edu/shs/_old/pharmacy/pharm-services_provided.php', 'http://www.fau.edu/shs/_old/clinic/boca/boca-womens_oral_contraceptives.php', 'http://www.fau.edu/shs/services/advisory.php', 'https://www.fau.edu/shs/PDFs/2013.14_SHS_Annual_Report_w.Appendices.pdf']",3494,55.42,9.73,7,5,2,0.041,0.517,0.178,"[-1, -1, -1, -1, -1, 'Wed, 08 Jul 2015 13:43:31 GMT', 'Thu, 21 Aug 2014 19:14:07 GMT', 'Mon, 19 Aug 2013 18:45:57 GMT']",-1,[],1
Florida International University,https://studentaffairs.fiu.edu/health-and-fitness/student-health,10,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/on-campus-services/sexual-health-resources/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/sexual-health/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/request/materialrequest/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/zika-prevention/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/resources/sexual-health-resources2/_assets/contraception.pdf', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/healthy-living/on-campus-services/index.php', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/services-and-fees/_assets/2017%20Fee%20Schedule.pdf']",3839,50.25,10.03,12,7,5,0.066,0.56,0.128,"[-1, -1, -1, -1, 'Wed, 16 Sep 2020 14:01:23 GMT', 'Wed, 16 Sep 2020 14:01:23 GMT', -1, 'Wed, 16 Sep 2020 14:01:22 GMT', 'Wed, 16 Sep 2020 13:59:08 GMT', 'Wed, 16 Sep 2020 14:00:51 GMT']",1,"['https://studentaffairs.fiu.edu/health-and-fitness/student-health', 'https://studentaffairs.fiu.edu/health-and-fitness/student-health/zika-prevention/index.php']",1
Florida State University,https://uhs.fsu.edu,,,,,,,,,,,,,,,0
University of Florida,https://shcc.ufl.edu,10,"['https://shcc.ufl.edu/tag/condoms/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/oral-sex/', 'https://shcc.ufl.edu/2017/01/06/condom-design-challenge/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/sexintheswamp/', 'https://shcc.ufl.edu/services/primary-care/sexual-health/', 'https://shcc.ufl.edu/tag/condom/', 'https://shcc.ufl.edu/2018/01/25/menstrual-products-now-available-at-shcc/', 'https://shcc.ufl.edu/2016/01/', 'https://shcc.ufl.edu/2017/01/31/gearing-up-for-v-day-safe-sex-is-the-best-sex/', 'https://shcc.ufl.edu/page/4/?s=dental&orderby=relevance&order=asc']",9626,76.92,5.92,88,56,32,0.135,0.462,0.21,"['Tue, 15 Sep 2020 18:20:50 GMT', 'Tue, 15 Sep 2020 17:33:51 GMT', 'Tue, 15 Sep 2020 18:20:51 GMT', 'Tue, 15 Sep 2020 18:20:52 GMT', 'Tue, 15 Sep 2020 18:09:55 GMT', 'Tue, 15 Sep 2020 18:20:53 GMT', 'Tue, 15 Sep 2020 18:20:54 GMT', 'Wed, 16 Sep 2020 12:40:49 GMT', 'Tue, 15 Sep 2020 18:20:46 GMT', -1]",1,"['https://shcc.ufl.edu', 'https://shcc.ufl.edu/services/primary-care/sexual-health/']",1
Indian River State College,https://www.irsc.edu/student-life,,,,,,,,,,,,,,,0
University of North Florida,https://www.unf.edu/shs,1,['https://www.unf.edu/shs/Self_Help_-_Urinary_Tract_Infection_(UTI).aspx'],808,63.3,8.04,6,3,3,0.06,0.62,0.044,"['Wed, 16 Sep 2020 14:37:41 GMT']",1,"['https://www.unf.edu/shs', 'https://www.unf.edu/shs/Self_Help_-_Urinary_Tract_Infection_(UTI).aspx']",1
University of South Florida Main Campus,https://www.usf.edu/student-affairs/student-health-services,10,"['https://www.usf.edu/student-affairs/student-health-services/services/sexualhealth.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/genital-herpes.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/syphilis.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/prevent-hpv.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/gonorrhea.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/contraceptives.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/chlamydia.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/hpv.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/sti-information/hiv.aspx']",5883,83.41,4.46,23,14,9,0.063,0.531,0.122,"[-1, -1, -1, -1, -1, -1, -1, 'Mon, 17 Feb 2014 14:44:26 GMT', -1, -1]",2,"['https://www.usf.edu/student-affairs/student-health-services', 'https://www.usf.edu/student-affairs/student-health-services/services/index.aspx', 'https://www.usf.edu/student-affairs/student-health-services/services/prevent-hpv.aspx']",1
The University of West Florida,https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services,1,['https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services/student-health-services/faqs/'],991,90.9,3.42,3,2,1,0.048,0.674,0.122,"['Mon, 14 Sep 2020 19:18:34 GMT']",1,"['https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services', 'https://uwf.edu/academic-engagement-and-student-affairs/departments/student-health-services/student-health-services/faqs/']",1
Abraham Baldwin Agricultural College,https://www.abac.edu/campus-life/health-center,,,,,,,,,,,,,,,0
Albany State University,https://www.asurams.edu/student-affairs/health-services,1,['https://www.asurams.edu/student-affairs/health-services/clinic-services.php'],385,63.25,6.65,2,1,1,0.023,0.849,0.054,[-1],1,"['https://www.asurams.edu/student-affairs/health-services', 'https://www.asurams.edu/student-affairs/health-services/clinic-services.php']",1
Armstrong State University,https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus,1,['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/requests-for-condoms/'],646,87.6,3.04,13,8,5,0.119,0.816,0.061,[-1],-1,[],1
College of Coastal Georgia,https://www.ccga.edu/page.cfm?p=616,1,['https://www.ccga.edu/page.cfm?p=2477'],993,78.35,8.45,2,1,1,0.033,0.54,0.186,[-1],-1,[],1
Clayton  State University,https://www.clayton.edu/uhs,3,"['https://www.clayton.edu/uhs/sexual-health-and-well-being', 'https://www.clayton.edu/uhs/index', 'https://www.clayton.edu/uhs/Womens-Health-Services']",2476,83.11,4.3,13,7,6,0.055,0.553,0.163,"[-1, -1, -1]",1,"['https://www.clayton.edu/uhs', 'https://www.clayton.edu/uhs/sexual-health-and-well-being']",1
Columbus State University,https://healthservices.columbusstate.edu,,,,,,,,,,,,,,,0
Dalton State College,https://www.daltonstate.edu/campus_life/student-health-services.cms,,,,,,,,,,,,,,,0
Fort Valley State University,https://www.fvsu.edu/student-health1,,,,,,,,,,,,,,,0
Georgia Institute of Technology Main Campus,https://health.gatech.edu,6,"['https://health.gatech.edu/news/dos-and-donts-condom-usage', 'https://health.gatech.edu/news/check-your-sexual-health', 'https://health.gatech.edu/services/womens/Emergency', 'https://health.gatech.edu/services/womens/Contraception', 'https://health.gatech.edu/news/5-healthy-habits-world-health-day', 'https://health.gatech.edu/services/womens/vaginitis']",4937,73.47,6.12,87,58,29,0.207,0.479,0.187,"['Wed, 16 Sep 2020 14:42:15 GMT', 'Wed, 16 Sep 2020 14:42:18 GMT', 'Wed, 16 Sep 2020 14:42:21 GMT', 'Wed, 16 Sep 2020 14:42:22 GMT', 'Wed, 16 Sep 2020 14:42:22 GMT', 'Wed, 16 Sep 2020 14:42:26 GMT']",2,"['https://health.gatech.edu', 'https://health.gatech.edu/services/women', 'https://health.gatech.edu/services/womens/Emergency']",1
Georgia Southwestern State University,https://www.gsw.edu/campus-life/campusliving/healthservices,,,,,,,,,,,,,,,0
Georgia College & State University,https://www.gcsu.edu/studenthealth,,,,,,,,,,,,,,,0
Georgia Southern University,https://auxiliary.georgiasouthern.edu/healthservices,5,"['https://auxiliary.georgiasouthern.edu/healthservices/armstrong-campus/requests-for-condoms/', 'https://auxiliary.georgiasouthern.edu/healthservices/you-asked-we-answered/', 'https://auxiliary.georgiasouthern.edu/healthservices/health-education-promotion-presentation-request/', 'https://auxiliary.georgiasouthern.edu/healthservices/pharmacy/', 'https://auxiliary.georgiasouthern.edu/healthservices/services/']",6679,76.36,5.16,18,12,6,0.091,0.686,0.133,"[-1, -1, -1, -1, -1]",2,"['https://auxiliary.georgiasouthern.edu/healthservices', 'https://auxiliary.georgiasouthern.edu/healthservices/special-hours-of-operation/', 'https://auxiliary.georgiasouthern.edu/healthservices/pharmacy/']",1
Georgia State University,https://health.gsu.edu,3,"['https://health.gsu.edu/2016/03/03/154046/', 'https://health.gsu.edu/2019/03/08/healthy-spring-break/', 'https://health.gsu.edu/2015/10/16/get-tested-for-stis/']",3992,71.78,7.33,5,4,1,0.038,0.478,0.188,"[-1, -1, -1]",2,"['https://health.gsu.edu', 'https://health.gsu.edu/news/2016-news-archives/', 'https://health.gsu.edu/2016/03/03/154046/']",1
University of Georgia,https://www.uhs.uga.edu,10,"['https://www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/condoms', 'https://www.uhs.uga.edu/sexualhealth/condomexpresshttps:/www.uhs.uga.edu/sexualhealth/condomexpress', 'https://www.uhs.uga.edu/sexualhealth/mens-sexual-health', 'https://www.uhs.uga.edu/sexualhealth/projectcondom', 'https://www.uhs.uga.edu/sexualhealth/contraception/birth_control_pills.html', 'https://www.uhs.uga.edu/studentgroups/safer-sex-ambassadors', 'https://www.uhs.uga.edu/sexualhealth/oral_sex', 'https://www.uhs.uga.edu/sexualhealth/aids', 'https://www.uhs.uga.edu/sexualhealth/vaginitis']",9218,74.34,6.06,217,155,62,0.203,0.495,0.131,"['Wed, 16 Sep 2020 15:03:14 GMT', 'Wed, 16 Sep 2020 15:03:15 GMT', 'Wed, 16 Sep 2020 15:03:15 GMT', 'Wed, 16 Sep 2020 15:03:15 GMT', 'Wed, 16 Sep 2020 15:03:16 GMT', 'Wed, 16 Sep 2020 15:03:16 GMT', 'Wed, 16 Sep 2020 15:03:17 GMT', 'Wed, 16 Sep 2020 15:03:17 GMT', 'Wed, 16 Sep 2020 15:03:17 GMT', 'Wed, 16 Sep 2020 15:03:18 GMT']",2,"['https://www.uhs.uga.edu', 'https://www.uhs.uga.edu/studentgroups/get-involved', 'https://www.uhs.uga.edu/studentgroups/safer-sex-ambassadors']",1
Gordon State College,https://www.gordonstate.edu/student-life/health-recreation/health-center,,,,,,,,,,,,,,,0
Savannah State University,https://www.savannahstate.edu/health-services,,,,,,,,,,,,,,,0
Valdosta State University,https://www.valdosta.edu/administration/student-affairs/student-health,,,,,,,,,,,,,,,0
University of West Georgia,https://www.westga.edu/student-services/health,2,"['https://www.westga.edu/student-services/health/resources.php', 'https://www.westga.edu/student-services/health/program-opportunities.php']",15166,66.17,6.9,5,3,2,0.05,0.479,0.195,"[-1, -1]",1,"['https://www.westga.edu/student-services/health', 'https://www.westga.edu/student-services/health/resources.php']",1
University of Hawaii at Hilo,https://hilo.hawaii.edu/studentaffairs/health,2,"['https://hilo.hawaii.edu/studentaffairs/health/', 'https://hilo.hawaii.edu/studentaffairs/health/services.php']",1650,67.87,7.46,10,5,5,0.041,0.606,0.152,"[-1, -1]",0,['https://hilo.hawaii.edu/studentaffairs/health'],1
University of Hawaii at Manoa,http://www.hawaii.edu/shs,2,"['https://www.hawaii.edu/shs/health_promotion/resource_center.php', 'https://www.hawaii.edu/shs/health_promotion/lokahi_program.php']",1794,63,8.51,6,4,2,0.049,0.546,0.31,"[-1, -1]",1,"['http://www.hawaii.edu/shs', 'http://www.hawaii.edu/shs/health_promotion/resource_center.php']",1
University of Hawaii West Oahu,https://westoahu.hawaii.edu/current-students/health-and-wellness,,,,,,,,,,,,,,,0
Boise State University,https://www.boisestate.edu/healthservices,3,"['https://www.boisestate.edu/healthservices/sexual-health/', 'https://www.boisestate.edu/healthservices/health-spring-break/', 'https://www.boisestate.edu/healthservices/medical-services/contraception/']",1079,73.72,6.23,4,3,1,0.04,0.49,0.277,"[-1, -1, -1]",2,"['https://www.boisestate.edu/healthservices', 'https://www.boisestate.edu/healthservices/medical/', 'https://www.boisestate.edu/healthservices/sexual-health/']",1
Idaho State University,https://www.isu.edu/healthcenter,,,,,,,,,,,,,,,0
University of Idaho,https://www.uidaho.edu/current-students/student-health-services,,,,,,,,,,,,,,,0
Lewis Clark State College,https://www.lcsc.edu/student-health,,,,,,,,,,,,,,,0
Chicago State University,https://www.csu.edu/collegeofhealthsciences/wellnesscenter,,,,,,,,,,,,,,,0
Eastern Illinois University,https://www.eiu.edu/health,3,"['https://www.eiu.edu/health/pharmacy.php', 'https://www.eiu.edu/health/OTC%20Price%20List%208-19.pdf']",824,68.29,8.05,2,1,1,0.024,0.581,0.153,"[-1, 'Fri, 17 Jul 2020 14:24:17 GMT', 'Tue, 13 Aug 2019 12:45:38 GMT']",1,"['https://www.eiu.edu/health', 'https://www.eiu.edu/health/pharmacy.php']",1
Governors State University,https://www.govst.edu/advocate-health-center,,,,,,,,,,,,,,,0
University of Illinois at Chicago,https://hospital.uillinois.edu/primary-and-specialty-care/family-medicine/student-health,,,,,,,,,,,,,,,0
University of Illinois at Urbana Champaign,https://www.mckinley.illinois.edu,4,"['https://www.mckinley.illinois.edu/medical-services/lgbtq-health', 'https://www.mckinley.illinois.edu/health-education/sexual-health', 'https://www.mckinley.illinois.edu/sites/default/files/docs/Mckinley%20Pharmacy%20Formulary%208.13.20%20web.pdf']",2385,53.84,11.01,7,4,3,0.033,0.544,0.132,"[-1, 'Wed, 16 Sep 2020 15:19:57 GMT', -1, 'Thu, 27 Aug 2020 21:50:05 GMT']",1,"['https://www.mckinley.illinois.edu', 'https://www.mckinley.illinois.edu/medical-services/lgbtq-health']",1
Illinois State University,https://healthservices.illinoisstate.edu,3,['https://healthservices.illinoisstate.edu/pharmacy/birth-control.shtml'],168,60.17,8.12,2,1,1,0.033,0.565,0.14,"['Fri, 21 Jul 2017 18:42:00 GMT', -1, 'Fri, 21 Jul 2017 18:42:05 GMT']",2,"['https://healthservices.illinoisstate.edu', 'https://healthservices.illinoisstate.edu/pharmacy/', 'https://healthservices.illinoisstate.edu/pharmacy/birth-control.shtml']",1
Northern Illinois University,https://www.niu.edu/health-services,,,,,,,,,,,,,,,0
Northeastern Illinois University,https://www.neiu.edu/university-life/student-health-services,2,"['https://www.neiu.edu/university-life/student-health-services/services', 'https://www.neiu.edu/university-life/student-health-services/faqs']",1899,78.64,5.08,14,7,7,0.072,0.63,0.21,"[-1, -1]",1,"['https://www.neiu.edu/university-life/student-health-services', 'https://www.neiu.edu/university-life/student-health-services/faqs']",1
University of Illinois at Springfield,https://www.uis.edu/healthservices,5,"['https://www.uis.edu/healthservices/forms/', 'https://www.uis.edu/healthservices/services/', 'https://www.uis.edu/healthservices/wp-content/uploads/sites/102/2013/04/womens-health-update-53965-1.pdf']",2434,70.72,6.41,3,2,1,0.039,0.729,0.032,"[-1, -1, 'Wed, 30 Nov 2016 15:32:43 GMT', 'Wed, 30 Nov 2016 15:43:48 GMT', 'Thu, 10 Nov 2016 21:42:24 GMT']",1,"['https://www.uis.edu/healthservices', 'https://www.uis.edu/healthservices/links/']",1
Southern Illinois University Carbondale,https://shc.siu.edu,,,,,,,,,,,,,,,0
Southern Illinois University Edwardsville,https://www.siue.edu/healthservice,10,"['https://www.siue.edu/healthservice/info/std.shtml', 'https://www.siue.edu/healthservice/faq.shtml', 'https://www.siue.edu/healthservice/travelers.shtml', 'https://www.siue.edu/healthservice/', 'https://www.siue.edu/healthservice/forms/brochures/HPV%20factsheet%20March%202014.pdf', 'http://www.siue.edu/healthservice/forms/brochures/Urinary%20Tract%20Infections%20Adults.pdf']",4685,75.02,5.98,11,6,5,0.058,0.505,0.105,"['Thu, 16 Jul 2020 20:44:02 GMT', -1, 'Thu, 16 Jul 2020 20:44:03 GMT', -1, -1, -1, 'Thu, 16 Jul 2020 20:44:03 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', 'Thu, 16 Jul 2020 20:44:03 GMT', -1]",0,['https://www.siue.edu/healthservice'],1
Western Illinois University,http://www.wiu.edu/student_services/beu_health_center,,,,,,,,,,,,,,,0
Ball State University,https://www.bsu.edu/campuslife/healthcenter,6,"['https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/hpv', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/herpes', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/trichomonas', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections/gcct', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center/obtaining-contraception/contraception']",3778,70.79,7.2,15,8,7,0.043,0.516,0.063,"[-1, -1, -1, -1, -1, -1]",2,"['https://www.bsu.edu/campuslife/healthcenter', 'https://www.bsu.edu/campuslife/healthcenter/services/womens-center', 'https://www.bsu.edu/campuslife/healthcenter/services/sexually-transmitted-infections']",1
Indiana University Purdue University Fort Wayne,https://www.pfw.edu/clinic,,,,,,,,,,,,,,,0
Indiana University Purdue University Indianapolis,https://health.iupui.edu,,,,,,,,,,,,,,,0
University of Southern Indiana,https://www.usi.edu/healthcenter,1,['https://www.usi.edu/healthcenter/services/womens-health'],291,69.66,6.17,2,1,1,0.027,0.762,0.048,[-1],2,"['https://www.usi.edu/healthcenter', 'https://www.usi.edu/healthcenter/services/', 'https://www.usi.edu/healthcenter/services/womens-health']",1
Indiana State University,https://www.indstate.edu/health-center,,,,,,,,,,,,,,,0
Indiana University Kokomo,https://www.iuk.edu/health-center,,,,,,,,,,,,,,,0
Indiana University South Bend,https://healthscience.iusb.edu/health-and-wellness-center,1,['https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html'],809,61.68,8.12,4,2,2,0.04,0.567,0.104,[-1],1,"['https://healthscience.iusb.edu/health-and-wellness-center', 'https://healthscience.iusb.edu/health-and-wellness-center/sti-testing.html']",1
Indiana University Bloomington,https://healthcenter.indiana.edu,10,"['https://healthcenter.indiana.edu/health-answers/sexual-health/condoms.html', 'https://healthcenter.indiana.edu/health-answers/contraception/condoms.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/safety-products.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html', 'https://healthcenter.indiana.edu/health-answers/contraception/emergency-contraception.html', 'https://healthcenter.indiana.edu/about/diversity-inclusion/lgbtq-care.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/index.html', 'https://healthcenter.indiana.edu/health-answers/sexual-health/prep-hiv-prevention.html', 'https://healthcenter.indiana.edu/health-answers/contraception/ring.html', 'https://healthcenter.indiana.edu/health-answers/contraception/progestin.html']",10644,60.23,9.26,298,198,100,0.16,0.555,0.128,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,"['https://healthcenter.indiana.edu', 'https://healthcenter.indiana.edu/health-answers/index.html', 'https://healthcenter.indiana.edu/health-answers/contraception/index.html']",1
Indiana University Northwest,https://www.iun.edu/chhs/health-wellness-center-clinic,,,,,,,,,,,,,,,0
Indiana University East,https://www.iue.edu/health,1,['https://www.iue.edu/health/'],755,87.12,3.35,2,1,1,0.028,0.603,0.233,[-1],0,['https://www.iue.edu/health'],1
Purdue University Calumet Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,0
Purdue University North Central Campus,https://www.purdue.edu/push,,,,,,,,,,,,,,,0
Iowa State University,https://health.iastate.edu,10,"['https://health.iastate.edu/wellness/condom-distribution/', 'https://health.iastate.edu/services/sexual-health-2/', 'https://health.iastate.edu/wellness/resources/', 'https://health.iastate.edu/resources/faq/', 'https://health.iastate.edu/new-students/bring-campus-checklist/', 'https://health.iastate.edu/staff-section/pharmacists/', 'https://health.iastate.edu/wellness/alcoholedu/']",4117,70.5,6.71,74,46,28,0.147,0.596,0.124,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://health.iastate.edu', 'https://health.iastate.edu/wellness/resources/']",1
University of Iowa,https://studenthealth.uiowa.edu,10,"['https://studenthealth.uiowa.edu/services/sexual-health/', 'https://studenthealth.uiowa.edu/resources/self-care-guide/sexual-health/', 'https://studenthealth.uiowa.edu/services/', 'https://studenthealth.uiowa.edu/assets/health-history-form-with-gyn.pdf', 'https://studenthealth.uiowa.edu/fall-2020/', 'https://studenthealth.uiowa.edu/assets/Uploads/2018-NCHA-Report2.pdf', 'https://studenthealth.uiowa.edu/assets/Uploads/2018-Student-Wellness-Assessment-Report.pdf']",3242,70.86,6.96,9,6,3,0.05,0.398,0.226,"[-1, -1, -1, 'Fri, 12 Apr 2019 17:48:40 GMT', 'Mon, 11 May 2020 19:08:31 GMT', -1, -1, -1, -1, -1]",1,"['https://studenthealth.uiowa.edu', 'https://studenthealth.uiowa.edu/services/']",1
University of Northern Iowa,https://health.uni.edu,2,['https://health.uni.edu/services/lab-testing'],724,63.56,9.38,3,2,1,0.047,0.553,0.152,"['Wed, 16 Sep 2020 15:32:18 GMT', 'Thu, 31 Jan 2019 19:57:21 GMT']",2,"['https://health.uni.edu', 'https://health.uni.edu/health-services', 'https://health.uni.edu/services/lab-testing']",1
Emporia State University,https://www.emporia.edu/student-life/health-wellness/student-health-services,1,['https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-frequently-asked-questions/'],1610,80.05,6.09,2,1,1,0.026,0.634,0.029,[-1],1,"['https://www.emporia.edu/student-life/health-wellness/student-health-services', 'https://www.emporia.edu/student-life/health-wellness/student-health-services/student-health-services-frequently-asked-questions/']",1
Fort Hays State University,https://www.fhsu.edu/student-health,,,,,,,,,,,,,,,0
University of Kansas,https://studenthealth.ku.edu,10,"['https://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/toilettalk/ToiletTalkNov2019.pdf', 'https://studenthealth.ku.edu/sexual-health', 'http://studenthealth.ku.edu/pharmacy', 'https://studenthealth.ku.edu/womens-health', 'http://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/toilettalk/ToiletTalkFeb2018.pdf?pdf=ToiletTalk-2018-Feb', 'https://studenthealth.ku.edu/sites/studenthealth.ku.edu/files/docs/PC-009-5%20HHF.pdf']",44798,71.18,6.5,4,2,2,0.029,0.558,0.158,"['Mon, 10 Sep 2018 20:21:35 GMT', 'Thu, 14 Nov 2019 15:40:07 GMT', 'Wed, 16 Sep 2020 15:40:49 GMT', 'Wed, 16 Sep 2020 13:55:53 GMT', 'Mon, 27 Aug 2018 20:23:19 GMT', 'Wed, 16 Sep 2020 14:50:51 GMT', 'Wed, 23 May 2018 20:18:12 GMT', 'Mon, 27 Aug 2018 20:02:01 GMT', 'Mon, 27 Aug 2018 20:44:10 GMT', 'Wed, 15 Mar 2017 16:47:25 GMT']",0,['https://studenthealth.ku.edu'],1
Kansas State University,https://www.k-state.edu/lafene,8,"['https://www.k-state.edu/lafene/shape/events.html', 'https://www.k-state.edu/lafene/shape/members.html', 'https://www.k-state.edu/lafene/shape/presentations.html', 'https://www.k-state.edu/lafene/documents/NCHA-2018.pdf', 'https://www.k-state.edu/lafene/shape/application.html']",2079,72.63,5.93,3,3,0,0.025,0.47,0.28,"[-1, -1, -1, 'Fri, 06 Jul 2018 19:14:02 GMT', 'Thu, 05 Jul 2018 15:08:28 GMT', 'Tue, 23 Jun 2020 16:36:37 GMT', -1, 'Fri, 06 Jul 2018 14:00:17 GMT']",-1,[],1
Pittsburg State University,https://www.pittstate.edu/office/health-services,2,['https://www.pittstate.edu/office/health-services/students.html'],2689,61.2,8.72,2,1,1,0.02,0.698,0.107,"[-1, 'Wed, 16 Sep 2020 05:21:21 GMT']",2,"['https://www.pittstate.edu/office/health-services', 'https://www.pittstate.edu/office/health-services/student-health-services.html', 'https://www.pittstate.edu/office/health-services/students.html']",1
Washburn University,https://washburn.edu/student-life/services/health-services,1,['https://washburn.edu/student-life/services/health-services/health-links.html'],463,81.84,4.1,2,1,1,0.025,0.333,0.1,"['Mon, 14 Sep 2020 06:46:53 GMT']",1,"['https://washburn.edu/student-life/services/health-services', 'https://washburn.edu/student-life/services/health-services/files/SHS%20Release%20of%20Information.docx']",1
Wichita State University,https://www.wichita.edu/services/studenthealth,,,,,,,,,,,,,,,0
Eastern Kentucky University,https://healthservices.eku.edu,2,['https://healthservices.eku.edu/sexual-health-and-sti-testing'],434,75.06,5.8,2,1,1,0.024,0.421,0.107,"['Wed, 16 Sep 2020 15:44:32 +0000', 'Mon, 04 Aug 2014 20:00:05 GMT']",1,"['https://healthservices.eku.edu', 'https://healthservices.eku.edu/sexual-health-and-sti-testing']",1
Kentucky State University,https://kysu.edu/administration-governance/enrollment-management-and-student-engagement/health-services,,,,,,,,,,,,,,,0
University of Kentucky,https://ukhealthcare.uky.edu/university-health-service/student-health/our-student-services,,,,,,,,,,,,,,,0
